Drink,Sips Price,Normal Price,Comparison Result,Sips Bar
Espresso Martini,$7.00,$14.00,7.0,Top Tomato Bar & Pizza
Merlot,$6.00,$12.12,6.12,1518 Bar and Grill
Grenache,$6.00,$12.00,6.0,Walnut Garden - Temporarily Closed
Chardonnay,$6.00,$11.31,5.31,1225 Raw Sushi and Sake Lounge
Cabernet Sauvignon,$6.00,$11.25,5.25,1225 Raw Sushi and Sake Lounge
Sauvignon Blanc,$6.00,$11.00,5.0,ArtBar at Sonesta Hotel
Aperol Spritz,$7.00,$12.00,5.0,Buca D'oro Ristorante
Whiskey Sour,$7.00,$12.00,5.0,Iron Hill Brewery & Restaurant
Pineapple Lemonade,$7.00,$11.00,4.0,Uptown Beer Garden
Tequila Sunrise,$7.00,$11.00,4.0,Bank and Bourbon
Ginger Spirit,$7.00,$11.00,4.0,1225 Raw Sushi and Sake Lounge
Gin (Nikka Coffey or Toki Hibiscus),$7.00,$11.00,4.0,Ancient Spirits & Grille
Moscow Mule,$7.00,$11.00,4.0,Craftsman Row Saloon
Tequila Punch,$7.00,$11.00,4.0,Barbuzzo
Stateside Seltzer,$5.00,$9.00,4.0,Tir Na Nog Irish Bar & Grill
Gin and Tonic,$7.00,$11.00,4.0,The Cauldron Philly
Margarita,$7.00,$11.00,4.0,1518 Bar and Grill
White,$6.10,$10.00,3.9,The Balcony Bar at the Kimmel Center
Malbec,$6.00,$9.88,3.88,Bodega Taco Bar
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,1225 Raw Sushi and Sake Lounge
Rosé,$6.05,$9.62,3.57,Ancient Spirits & Grille
Paloma,$7.00,$10.50,3.5,Bar Bombón
Downeast Cider,$5.00,$7.50,2.5,Ancient Spirits & Grille
Pinot Noir,$6.00,$8.50,2.5,1225 Raw Sushi and Sake Lounge
Stella Artois,$5.00,$7.25,2.25,The Patio @ Thirteen Restaurant
Surfside Lemonade,$7.00,$9.00,2.0,Iron Hill Brewery & Restaurant
Golden Road Mango Cart,$5.00,$7.00,2.0,Con Murphy's Irish Pub
Neshaminy Creek Shape of Hops,$7.00,$9.00,2.0,The Balcony Bar at the Kimmel Center
New Belgium Voodoo Ranger,$5.00,$7.00,2.0,Ancient Spirits & Grille
Sam Adams,$5.00,$7.00,2.0,ArtBar at Sonesta Hotel
Strongbow Cider,$5.00,$7.00,2.0,Tir Na Nog Irish Bar & Grill
White Claw,$5.00,$6.80,1.8,Cavanaugh's Rittenhouse
Sierra Nevada Pale Ale,$5.00,$6.75,1.75,Blume Burger
Carlsberg,$5.00,$6.75,1.75,The Black Sheep
Kona Big Wave,$5.00,$6.50,1.5,Air Grille Garden at Dilworth Park
Modelo,$5.00,$6.50,1.5,ArtBar at Sonesta Hotel
Kenwood Lager,$5.00,$6.25,1.25,City Tap House Logan Square
Warsteiner Pilsner,$5.00,$6.00,1.0,Cavanaugh's Rittenhouse
Love City Lager,$5.00,$6.00,1.0,Ancient Spirits & Grille
Rupee Lager,$5.00,$6.00,1.0,Veda - Modern Indian Bistro
Kirin Light,$5.00,$6.00,1.0,Leda and the Swan Cocktail Lounge
