Comparison Result,Comparison Fraction,Deal Count,Deal Weight,Result Score,Fraction Score,Deal Score,Sips Bar
17.31,34.0,5,0.38461538461538464,4.741282051282051,6.036585365853659,2.1,2.1
20.509999999999998,27.857142857142858,7,0.5384615384615384,5.6438461538461535,4.553310104529617,2.7,2.7
5.5,29.5,2,0.15384615384615385,1.4102564102564104,4.95,0.5,0.5
12.32,29.0,5,0.38461538461538464,3.3338461538461535,4.829268292682927,1.6,1.6
21.57,32.57142857142857,7,0.5384615384615384,5.9428205128205125,5.69163763066202,3.1,3.1
3.9,39.0,1,0.07692307692307693,0.9589743589743589,7.2439024390243905,0.3,0.3
8.139999999999999,27.333333333333332,3,0.23076923076923078,2.1548717948717946,4.426829268292683,0.8,0.8
3.33,15.0,2,0.15384615384615385,0.7982051282051282,1.448780487804878,0.2,0.2
13.58,26.4,5,0.38461538461538464,3.6892307692307695,4.201463414634146,1.5,1.5
11.809999999999999,37.333333333333336,3,0.23076923076923078,3.19,6.8414634146341475,1.2,1.2
15.75,36.5,4,0.3076923076923077,4.301282051282051,6.640243902439025,1.7,1.7
14.25,36.0,4,0.3076923076923077,3.8782051282051277,6.519512195121952,1.6,1.6
19.88,38.6,5,0.38461538461538464,5.466153846153846,7.147317073170733,2.4,2.4
4.04,14.0,3,0.23076923076923078,0.9984615384615385,1.2073170731707317,0.3,0.3
10.969999999999999,36.333333333333336,3,0.23076923076923078,2.9530769230769227,6.6000000000000005,1.1,1.1
18.77,42.25,4,0.3076923076923077,5.153076923076923,8.028658536585366,2.0,2.0
0.5,9.0,1,0.07692307692307693,0.0,0.0,0.0,0.0
5.0,5.0,5,5.0,5.0,5.0,5.0,5.0
21.71,33.166666666666664,6,0.46153846153846156,5.9823076923076925,5.835365853658536,2.7,2.7
12.55,28.6,5,0.38461538461538464,3.3987179487179486,4.732682926829269,1.6,1.6
15.07,32.0,5,0.38461538461538464,4.1094871794871795,5.553658536585367,1.9,1.9
15.370000000000001,37.5,4,0.3076923076923077,4.194102564102565,6.881707317073171,1.7,1.7
13.54,25.6,5,0.38461538461538464,3.6779487179487176,4.00829268292683,1.5,1.5
14.9,31.4,5,0.38461538461538464,4.061538461538461,5.4087804878048775,1.8,1.8
