Bar,Menu Item,Price,SipsDeal
Cavanaugh's Rittenhouse,Aperol Spritz,$12.00,N
Cavanaugh's Rittenhouse,Dragonade,$8.00,N
Cavanaugh's Rittenhouse,Espresso Martini,$14.00,N
Cavanaugh's Rittenhouse,Jameson Orange Crushed,$12.00,N
Cavanaugh's Rittenhouse,Mezcal-A-Rita,$13.00,N
Cavanaugh's Rittenhouse,Paloma,$12.00,N
Cavanaugh's Rittenhouse,Philly Mule,$11.00,N
Cavanaugh's Rittenhouse,Pink Lady,$12.00,N
Cavanaugh's Rittenhouse,Sidecar,$16.00,N
Cavanaugh's Rittenhouse,Tully Old Fashioned,$12.00,N
Cavanaugh's Rittenhouse,Cav's City Wide,Price not available,N
Cavanaugh's Rittenhouse,Summertime City Wide,$10.00,N
Cavanaugh's Rittenhouse,Any Given Sunday Bloody Mary,$12.00,N
Cavanaugh's Rittenhouse,Bottom's Up,$11.00,N
Cavanaugh's Rittenhouse,Tropical Tequila,$11.00,N
Cavanaugh's Rittenhouse,Passion Fruit Margarita,$11.00,N
Cavanaugh's Rittenhouse,Anaperitivo Lemonade,$11.00,N
Cavanaugh's Rittenhouse,Bud Light,$5.00,N
Cavanaugh's Rittenhouse,Blue Moon,$6.50,N
Cavanaugh's Rittenhouse,Downeast Seasonal Cider,$7.50,N
Cavanaugh's Rittenhouse,Kona Big Wave,$6.50,N
Cavanaugh's Rittenhouse,Modelo,$6.50,N
Cavanaugh's Rittenhouse,New Belgium Voodoo Ranger,$7.50,N
Cavanaugh's Rittenhouse,Sam Adams Summer Ale,$7.00,N
Cavanaugh's Rittenhouse,Victory Brotherly Love,$7.50,N
Cavanaugh's Rittenhouse,Yuengling Lager,$5.00,N
Cavanaugh's Rittenhouse,Guinness Non Alcoholic,$7.00,N
Cavanaugh's Rittenhouse,Stella Liberte 0.0,$6.75,N
Cavanaugh's Rittenhouse,Two Roads N/A Juicy IPA,$6.50,N
Cavanaugh's Rittenhouse,Downeast Original Can,$7.50,N
Cavanaugh's Rittenhouse,Magners Apple Cider,$7.00,N
Cavanaugh's Rittenhouse,Cape May White,$7.00,N
Cavanaugh's Rittenhouse,Dogfish Namaste,$6.50,N
Cavanaugh's Rittenhouse,Konig Ludwig Weissbier,$6.75,N
Cavanaugh's Rittenhouse,Delirium Tremens,$15.00,N
Cavanaugh's Rittenhouse,Yards Jefferson's Golden Ale,$7.50,N
Cavanaugh's Rittenhouse,Corona,$6.50,N
Cavanaugh's Rittenhouse,Corona Light,$6.50,N
Cavanaugh's Rittenhouse,Michelob Ultra,$5.50,N
Cavanaugh's Rittenhouse,Budweiser,$5.00,N
Cavanaugh's Rittenhouse,Coors Light,$5.00,N
Cavanaugh's Rittenhouse,Kenwood Original,$5.00,N
Cavanaugh's Rittenhouse,Miller High Life,$4.50,N
Cavanaugh's Rittenhouse,Miller Lite,$5.00,N
Cavanaugh's Rittenhouse,PBR Can,$4.00,N
Cavanaugh's Rittenhouse,Rocky Mountain Outlaw,$4.00,N
Cavanaugh's Rittenhouse,Yards Brawler,$6.75,N
Cavanaugh's Rittenhouse,Fat Head Sunshine Daydream,$6.50,N
Cavanaugh's Rittenhouse,Neshaminy Creek Shape of Hops,$9.00,N
Cavanaugh's Rittenhouse,New Trail Broken Heels,$7.00,N
Cavanaugh's Rittenhouse,Half Acre Daisy Cutter Pale Ale,$7.00,N
Cavanaugh's Rittenhouse,Dogfish Head Citrus Squal,$7.00,N
Cavanaugh's Rittenhouse,New Belgium Fat Tire,$6.50,N
Cavanaugh's Rittenhouse,Warsteiner Premium,$6.00,N
Cavanaugh's Rittenhouse,Anderson Valley Briny Melon Gose,$6.50,N
Cavanaugh's Rittenhouse,Dogfish SeaQuench,$6.50,N
Cavanaugh's Rittenhouse,Victory Sour Monkey,$7.75,N
Cavanaugh's Rittenhouse,Mummers Row Philly Tea,$8.00,N
Cavanaugh's Rittenhouse,Stateside Black Cherry Seltzer,$9.00,N
Cavanaugh's Rittenhouse,Stateside Lemon Cucumber Mint Seltzer,$9.00,N
Cavanaugh's Rittenhouse,Stateside Orange Seltzer,$9.00,N
Cavanaugh's Rittenhouse,Surfside Half & Half & Vodka,$9.00,N
Cavanaugh's Rittenhouse,Surfside Iced Tea & Vodka,$9.00,N
Cavanaugh's Rittenhouse,Surfside Lemonade & Vodka,$9.00,N
Cavanaugh's Rittenhouse,Surfside Peach Tea & Vodka,$9.00,N
Cavanaugh's Rittenhouse,Twisted Tea Lite,$6.50,N
Cavanaugh's Rittenhouse,White Claw Blackberry Seltzer,$6.50,N
Cavanaugh's Rittenhouse,White Claw Mango Seltzer,$6.50,N
Cavanaugh's Rittenhouse,White Claw Peach,$6.50,N
Cavanaugh's Rittenhouse,Roaring Eagle Chardonnay,$8.50,N
Cavanaugh's Rittenhouse,Eola Hills Pinot Grigio,$8.50,N
Cavanaugh's Rittenhouse,Bridge Lane Sauvignon Blanc,$9.00,N
Cavanaugh's Rittenhouse,Bridge Lane Rose,$10.00,N
Cavanaugh's Rittenhouse,Champagne,$8.25,N
Cavanaugh's Rittenhouse,Prosecco,$10.00,N
Cavanaugh's Rittenhouse,Eola Hills Pinot Noir,$8.50,N
Cavanaugh's Rittenhouse,Dona Paula Los Cardos Malbec,$8.50,N
Cavanaugh's Rittenhouse,Philly Style Cabernet,$8.50,N
