Drink,Sips Price,Normal Price,Comparison Result,Comparison Fraction,Sips Bar
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,1225 Raw Sushi and Sake Lounge
Chardonnay,$6.00,$11.31,5.31,47.0,1225 Raw Sushi and Sake Lounge
Cabernet Sauvignon,$6.00,$11.25,5.25,47.0,1225 Raw Sushi and Sake Lounge
Pinot Noir,$6.00,$8.50,2.5,29.0,1225 Raw Sushi and Sake Lounge
Bud Light,$5.00,$5.50,0.5,9.0,1225 Raw Sushi and Sake Lounge
Margarita,$7.00,$11.00,4.0,36.0,1518 Bar and Grill
Chardonnay,$6.00,$11.31,5.31,47.0,1518 Bar and Grill
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,1518 Bar and Grill
Merlot,$6.00,$12.12,6.12,50.0,1518 Bar and Grill
Budweiser,$5.00,$5.50,0.5,9.0,1518 Bar and Grill
Coors Light,$5.00,$5.50,0.5,9.0,1518 Bar and Grill
Miller Lite,$5.00,$5.33,0.33,6.0,1518 Bar and Grill
Margarita,$7.00,$11.00,4.0,36.0,Air Grille Garden at Dilworth Park
Kona Big Wave,$5.00,$6.50,1.5,23.0,Air Grille Garden at Dilworth Park
Rosé,$6.05,$9.62,3.57,37.0,Ancient Spirits & Grille
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,Ancient Spirits & Grille
Corona Light,$6.00,$6.50,0.5,8.0,Ancient Spirits & Grille
Downeast Cider,$5.00,$7.50,2.5,33.0,Ancient Spirits & Grille
New Belgium Voodoo Ranger,$5.00,$7.00,2.0,29.0,Ancient Spirits & Grille
Sauvignon Blanc,$6.00,$11.00,5.0,45.0,ArtBar at Sonesta Hotel
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,ArtBar at Sonesta Hotel
Cabernet Sauvignon,$6.00,$11.25,5.25,47.0,ArtBar at Sonesta Hotel
Rosé,$6.05,$9.62,3.57,37.0,ArtBar at Sonesta Hotel
Michelob Ultra,$5.00,$5.50,0.5,9.0,ArtBar at Sonesta Hotel
Modelo,$5.00,$6.50,1.5,23.0,ArtBar at Sonesta Hotel
Sam Adams,$5.00,$7.00,2.0,29.0,ArtBar at Sonesta Hotel
White,$6.10,$10.00,3.9,39.0,The Balcony Bar at the Kimmel Center
Chardonnay,$6.00,$11.31,5.31,47.0,Bank and Bourbon
Pinot Noir,$6.00,$8.50,2.5,29.0,Bank and Bourbon
Miller Lite,$5.00,$5.33,0.33,6.0,Bank and Bourbon
Paloma,$7.00,$10.50,3.5,33.0,Bar Bombón
Frozen Astronaut,$6.67,$6.50,-0.17,-3.0,Bar Bombón
Margarita,$7.00,$11.00,4.0,36.0,Bar-Ly Chinatown
Cabernet Sauvignon,$6.00,$11.25,5.25,47.0,Bar-Ly Chinatown
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,Bar-Ly Chinatown
Yuengling,$5.00,$5.25,0.25,5.0,Bar-Ly Chinatown
Miller Lite,$5.00,$5.33,0.33,6.0,Bar-Ly Chinatown
Tequila Punch,$7.00,$11.00,4.0,36.0,Barbuzzo
Chardonnay,$6.00,$11.31,5.31,47.0,Barbuzzo
Pinot Noir,$6.00,$8.50,2.5,29.0,Barbuzzo
Margarita,$7.00,$11.00,4.0,36.0,Barstool Sansom Street
Margarita,$7.00,$11.00,4.0,36.0,Barstool Sansom Street
Margarita,$7.00,$11.00,4.0,36.0,Barstool Sansom Street
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,Barstool Sansom Street
Paloma,$7.00,$10.50,3.5,33.0,The Black Sheep
Cabernet Sauvignon,$6.00,$11.25,5.25,47.0,The Black Sheep
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,The Black Sheep
Carlsberg,$5.00,$6.75,1.75,26.0,The Black Sheep
Margarita,$7.00,$11.00,4.0,36.0,Blume Burger
Cabernet Sauvignon,$6.00,$11.25,5.25,47.0,Blume Burger
Chardonnay,$6.00,$11.31,5.31,47.0,Blume Burger
Rosé,$6.05,$9.62,3.57,37.0,Blume Burger
Sierra Nevada Pale Ale,$5.00,$6.75,1.75,26.0,Blume Burger
Frozen Astronaut,$6.67,$6.50,-0.17,-3.0,Bodega Taco Bar
Malbec,$6.00,$9.88,3.88,39.0,Bodega Taco Bar
Miller Lite,$5.00,$5.33,0.33,6.0,Bodega Taco Bar
Paloma,$7.00,$10.50,3.5,33.0,Brü Craft & Wurst
White,$6.10,$10.00,3.9,39.0,Brü Craft & Wurst
Rosé,$6.05,$9.62,3.57,37.0,Brü Craft & Wurst
Aperol Spritz,$7.00,$12.00,5.0,42.0,Buca D'oro Ristorante
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,Buca D'oro Ristorante
White,$6.10,$10.00,3.9,39.0,Buca D'oro Ristorante
Merlot,$6.00,$12.12,6.12,50.0,Buca D'oro Ristorante
Michelob Ultra,$5.00,$5.50,0.5,9.0,Butcher Bar
White,$6.10,$10.00,3.9,39.0,The Cauldron Philly
Blue Moon,$7.00,$6.50,-0.5,-8.0,The Cauldron Philly
Gin and Tonic,$7.00,$11.00,4.0,36.0,The Cauldron Philly
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,The Cauldron Philly
Cabernet Sauvignon,$6.00,$11.25,5.25,47.0,The Cauldron Philly
Chardonnay,$6.00,$11.31,5.31,47.0,The Cauldron Philly
Paloma,$7.00,$10.50,3.5,33.0,Cavanaugh's Rittenhouse
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,Cavanaugh's Rittenhouse
Pinot Noir,$6.00,$8.50,2.5,29.0,Cavanaugh's Rittenhouse
Warsteiner Pilsner,$5.00,$6.00,1.0,17.0,Cavanaugh's Rittenhouse
White Claw,$5.00,$6.80,1.8,26.0,Cavanaugh's Rittenhouse
Margarita,$7.00,$11.00,4.0,36.0,City Tap House Logan Square
Pinot Noir,$6.00,$8.50,2.5,29.0,City Tap House Logan Square
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,City Tap House Logan Square
Rosé,$6.05,$9.62,3.57,37.0,City Tap House Logan Square
Kenwood Lager,$5.00,$6.25,1.25,20.0,City Tap House Logan Square
Paloma,$7.00,$10.50,3.5,33.0,Con Murphy's Irish Pub
Pinot Gris / Pinot Grigio,$6.00,$9.75,3.75,38.0,Con Murphy's Irish Pub
Merlot,$6.00,$12.12,6.12,50.0,Con Murphy's Irish Pub
Golden Road Mango Cart,$5.00,$7.00,2.0,29.0,Con Murphy's Irish Pub
Margarita,$7.00,$11.00,4.0,36.0,Continental Midtown
Frozen Astronaut,$6.67,$6.50,-0.17,-3.0,Continental Midtown
Chardonnay,$6.00,$11.31,5.31,47.0,Continental Midtown
White,$6.10,$10.00,3.9,39.0,Continental Midtown
Bud Light,$5.00,$5.50,0.5,9.0,Continental Midtown
Margarita,$7.00,$11.00,4.0,36.0,Craftsman Row Saloon
Moscow Mule,$7.00,$11.00,4.0,36.0,Craftsman Row Saloon
White,$6.10,$10.00,3.9,39.0,Craftsman Row Saloon
Modelo,$5.00,$6.50,1.5,23.0,Craftsman Row Saloon
Kona Big Wave,$5.00,$6.50,1.5,23.0,Craftsman Row Saloon
Margarita,$7.00,$11.00,4.0,36.0,Darling Jack's Tavern
Chardonnay,$6.00,$11.31,5.31,47.0,Darling Jack's Tavern
Pinot Noir,$6.00,$8.50,2.5,29.0,Darling Jack's Tavern
Victory Prima Pils,$5.00,$6.00,1.0,17.0,Darling Jack's Tavern
Paloma,$7.00,$10.50,3.5,33.0,Devil's Alley
