Name,Yelp Alias,SIPS_URL,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS,RW_URL,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,RW_PHOTO,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,RW_Score,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities,Yelp Rating,Review Count,Phone
1225 Raw Sushi and Sake Lounge,1225raw-sushi-and-sake-lounge-philadelphia-2,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#1225-raw-sushi-and-sake-lounge,"Raw Crush - House Vodka, Triple Sec, Orange Juice, Sprite
Raw's Sunrise - Hornitos Tequilla, Pineapple Juice, Orange Juice, Grenadine
Rosey Sunset - House Gin, Lemon Juice, Raspberry Liquor, Cranberry Juice, Simple Syrup
Haku's Water - Coconut Rum, House Spiced Rum, Lime Juice, Pineapple Juice, Blue Curacao","House Red Cabernet
House White Pinot Grigio","Miller Lite
Heineken
Corona","Edamame $6, Shishito Peppers $7, Tortilla & Guac $6, Kimchi Fried Rice $7, Pork Belly Bao Bun $6 (1pc), Capital Roll $6, California Roll $6, Spicy Tuna Roll $6, Salmon Avocado Roll $6, Avocado Cucumber Roll $6",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#1225-raw-sushi-and-sake-lounge,Participating in dinner only. Offering indoor and outdoor dining. Closed Monday.,$45 DINNER,https://centercityphila.org/uploads/attachments/clly71s7mbf9jwnqdars7fk7y-raw1225.pdf,,"1225 Sansom St, Philadelphia, PA 19102",39.94977845,-75.16082182,https://1225rawnledas.com,"['Japanese', 'Sushi Bars', 'Korean']",$$,582.0,https://centercityphila.org/uploads/attachments/cj2lxzkgb00ra9vqdkiq45v7e-image1.0.174.1447.1447.full.jpg,Y,Y,,Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,3.7,38.0,60.0,"Street Parking, Bike Parking, Validated Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Trendy, Classy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
1518 Bar and Grill,1518-bar-and-grill-philadelphia,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#1518-bar-and-grill,"Mexican Mule - 2oz Hornitos Tequila, 1oz lime juice, topped with ginger beer, served on the rocks","Pinot Grigio
Chardonnay
Merlot","Millerlite
Budweiser
Kenzinger
Coorse light","All $7:
Mac and Cheese
MeatBalls
Hummus
Chicken Tenders
Wings",,,,,,"1518 Sansom St, Philadelphia, PA 19102",39.950239,-75.16664344,http://www.1518barandgrill.com,"['Bars', 'American (Traditional)']",$$,251.0,https://centercityphila.org/uploads/attachments/cl2qamwd205ulwdqduy6dgcio-1518-bar-n-grill.0.491.1773.1773.full.jpg,Y,N,"['Penn Center', 'Rittenhouse Square']",11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,,3.9,41.0,61.0,"Street Parking, Bike Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
2637brew,2637brew-philadelphia,,,,,,,,,,,"2637 W Girard Ave, Philadelphia, PA 19130",39.97448008,-75.18020911,,['Bars'],$$,126.0,,N,N,['Brewerytown'],Closed,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,1:00 PM - 2:00 AM,12:00 PM - 2:00 AM,10:00 AM - 10:00 PM,,4.2,46.0,33.0,"Street Parking, Bike Parking","Friday, Saturday",Credit Cards,Veteran-owned,Dinner,,,"Trendy, Intimate, Hipster, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
2nd Street Brew House,2nd-street-brew-house-philadelphia,,,,,,,,,,,"1700 S 2nd St, Philadelphia, PA 19148",39.92664,-75.1494,http://www.2ndstreetbrewhouse.com/,"['Pubs', 'American (Traditional)', 'Beer Bar']",$$,75.0,,N,N,['Pennsport'],12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,True,4.1,44.0,37.0,"Street Parking, Bike Parking","Wednesday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,"Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,Juke Box,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
48th Street Grille,48th-street-grille-philadelphia,,,,,,,,,,https://www.yelp.com/reservations/48th-street-grille-philadelphia?from_reserve_now=1,"310 S 48th St, Philadelphia, PA 19143",39.95313,-75.21878,http://www.48thstreetgrille.com,['Caribbean'],$$,309.0,,N,N,['Garden Court'],Closed,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,Closed,,4.3,49.0,44.0,"Street Parking, Bike Parking",,Credit Cards,"Women-owned, Black-owned",Dinner,"Offers Delivery, Offers Takeout, Offers Catering, Offers Military Discount",Vegan Options,"Classy, Casual, Moderate Noise","Open to All, Wheelchair Accessible",True,,Takes Reservations,Outdoor Seating,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
a.kitchen,a-kitchen-philadelphia-4,,,,,,,,,,https://resy.com/cities/pha/a-kitchenandbar,"135 S 18th St, Philadelphia, PA 19103",39.950323,-75.170538,http://www.akitchenandbar.com/,['American (New)'],$$$,480.0,,N,N,"['Rittenhouse Square', 'Penn Center']",4:30 PM - 9:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,,3.6,53.0,15.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Trendy, Classy, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Wi-Fi",,,
A La Mousse,a-la-mousse-philadelphia,,,,,,,,,,,"145 N 11th St, Philadelphia, PA 19107",39.95497473,-75.15754111,https://alamousse.com,"['Desserts', 'Coffee & Tea', 'Bakeries']",$$,788.0,,N,N,['Chinatown'],11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,12:00 PM - 11:00 PM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 11:00 PM,,4.4,52.0,48.0,"Street Parking, Bike Parking, Private Lot Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Gluten-Free Options,Moderate Noise,Gender-neutral restrooms,,Provides reusable tableware,,Outdoor Seating,,,,Wi-Fi,,,
A Mano,a-mano-philadelphia,,,,,,,,,,https://resy.com/cities/pha/a-mano,"2244 Fairmount Ave, Philadelphia, PA 19130",39.96723439,-75.17532116,http://amanophl.com,['Italian'],$$$,249.0,,N,N,"['Fairmount', 'Art Museum District']",Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 10:00 PM,,4.2,64.0,52.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Pescatarian Options, Vegetarian Options","Classy, Intimate, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Abyssinia,abyssinia-philadelphia,,,,,,,,,,,"229 S 45th St, Philadelphia, PA 19104",39.95418731,-75.21169992,https://abyssiniaphilly.com,"['Ethiopian', 'Bars']",$$,340.0,,N,N,"['Spruce Hill', 'University City']",10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,,3.6,35.0,35.0,"Street Parking, Bike Parking","Wednesday, Sunday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Classy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Pool Table, Wi-Fi",,,
Aki Nom Nom,aki-nom-nom-sushi-and-ramen-philadelphia-3,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#aki-nom-nom,Participating in lunch and dinner. Offering indoor dining.,Coming soon,,https://www.opentable.com/r/aki-nom-nom-sushi-and-ramen-reservations-philadelphia?restref=1015834&lang=en-US,"1210 Walnut St, Philadelphia, PA 19107",39.9487415,-75.16115766,http://akisushi.com,"['Sushi Bars', 'Ramen']",$$,630.0,https://centercityphila.org/uploads/attachments/civfnv30300t0l7qd1j8vgebz-img-3255.846.23.2405.2405.full.jpg,N,Y,['Washington Square West'],11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 12:00 AM,11:30 AM - 12:00 AM,11:30 AM - 10:30 PM,,3.5,34.0,58.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Aksum Cafe,aksum-cafe-philadelphia-2,,,,,,,,,,,"4630 Baltimore Ave, Philadelphia, PA 19143",39.9485809,-75.2161609,http://www.aksumcafe.com,"['Mediterranean', 'American (New)', 'Vegetarian']",$$,417.0,,N,N,['Cedar Park'],Closed,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 5:00 PM,,3.7,37.0,35.0,"Street Parking, Bike Parking",,"Credit Cards, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Military Discount","Vegan Options, Pescatarian Options, Vegetarian Options","Trendy, Classy, Moderate Noise",Gender-neutral restrooms,,,,Outdoor Seating,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Alamodak Restaurant and Hookah Lounge,alamodak-restaurant-and-hookah-lounge-philadelphia-5,,,,,,,,,,,"161 Cecil B Moore Ave, Philadelphia, PA 19122",39.97617,-75.13703,https://alamodakrestaurant.com,"['Middle Eastern', 'Hookah Bars']",$$,119.0,,N,N,,4:30 PM - 12:00 AM,4:30 PM - 12:00 AM,Closed,4:30 PM - 12:00 AM,4:15 PM - 1:00 AM,4:15 PM - 1:00 AM,4:30 PM - 12:00 AM,,4.0,42.0,30.0,"Street Parking, Bike Parking, Private Lot Parking","Tuesday, Thursday, Friday","Credit Cards, Android Pay, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering, Offers Military Discount",Vegan Options,"Romantic, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,"Plastic-free packaging, Compostable containers available","By Appointment Only, Takes Reservations","Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",Dinner,Live Music,"Happy Hour, Beer and Wine Only","TV, Pool Table, Wi-Fi",,,
