Name,Yelp Alias,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities
1225 Raw Sushi and Sake Lounge,1225raw-sushi-and-sake-lounge-philadelphia-2,,"1225 Sansom St, Philadelphia, PA 19102",39.94977845,-75.16082182,https://1225rawnledas.com,"['Japanese', 'Sushi Bars', 'Korean']",$$,582.0,N,N,,Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,3.7,60.0,"Street Parking, Bike Parking, Validated Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Trendy, Classy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi"
1518 Bar and Grill,1518-bar-and-grill-philadelphia,,"1518 Sansom St, Philadelphia, PA 19102",39.950239,-75.16664344,http://www.1518barandgrill.com,"['Bars', 'American (Traditional)']",$$,251.0,N,N,"Penn Center, Rittenhouse Square",11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,,3.9,61.0,"Street Parking, Bike Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
2637brew,2637brew-philadelphia,,"2637 W Girard Ave, Philadelphia, PA 19130",39.97448008,-75.18020911,,['Bars'],$$,126.0,N,N,Brewerytown,Closed,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,1:00 PM - 2:00 AM,12:00 PM - 2:00 AM,10:00 AM - 10:00 PM,,4.2,33.0,"Street Parking, Bike Parking","Friday, Saturday",Credit Cards,Veteran-owned,Dinner,,,"Trendy, Intimate, Hipster, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating",,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
2nd Street Brew House,2nd-street-brew-house-philadelphia,,"1700 S 2nd St, Philadelphia, PA 19148",39.92664,-75.1494,http://www.2ndstreetbrewhouse.com/,"['Pubs', 'American (Traditional)', 'Beer Bar']",$$,75.0,N,N,Pennsport,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,12:00 PM - 2:00 AM,True,4.1,37.0,"Street Parking, Bike Parking","Wednesday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",,"Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,Juke Box,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi"
48th Street Grille,48th-street-grille-philadelphia,https://www.yelp.com/reservations/48th-street-grille-philadelphia?from_reserve_now=1,"310 S 48th St, Philadelphia, PA 19143",39.95313,-75.21878,http://www.48thstreetgrille.com,['Caribbean'],$$,309.0,N,N,Garden Court,Closed,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 8:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,Closed,,4.3,44.0,"Street Parking, Bike Parking",,Credit Cards,"Women-owned, Black-owned",Dinner,"Offers Delivery, Offers Takeout, Offers Catering, Offers Military Discount",Vegan Options,"Classy, Casual, Moderate Noise","Open to All, Wheelchair Accessible",True,,Takes Reservations,Outdoor Seating,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi"
a.kitchen,a-kitchen-philadelphia-4,https://resy.com/cities/pha/a-kitchenandbar,"135 S 18th St, Philadelphia, PA 19103",39.950323,-75.170538,http://www.akitchenandbar.com/,['American (New)'],$$$,480.0,N,N,"Rittenhouse Square, Penn Center",4:30 PM - 9:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,9:00 AM - 3:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,,3.6,15.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Trendy, Classy, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Wi-Fi"
A La Mousse,a-la-mousse-philadelphia,,"145 N 11th St, Philadelphia, PA 19107",39.95497473,-75.15754111,https://alamousse.com,"['Desserts', 'Coffee & Tea', 'Bakeries']",$$,788.0,N,N,Chinatown,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,12:00 PM - 11:00 PM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 11:00 PM,,4.4,48.0,"Street Parking, Bike Parking, Private Lot Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Gluten-Free Options,Moderate Noise,Gender-neutral restrooms,,Provides reusable tableware,,Outdoor Seating,,,,Wi-Fi
A Mano,a-mano-philadelphia,https://resy.com/cities/pha/a-mano,"2244 Fairmount Ave, Philadelphia, PA 19130",39.96723439,-75.17532116,http://amanophl.com,['Italian'],$$$,249.0,N,N,"Fairmount, Art Museum District",Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 10:00 PM,,4.2,52.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Pescatarian Options, Vegetarian Options","Classy, Intimate, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,,,"Alcohol, Happy Hour","TV, Wi-Fi"
Abyssinia,abyssinia-philadelphia,,"229 S 45th St, Philadelphia, PA 19104",39.95418731,-75.21169992,https://abyssiniaphilly.com,"['Ethiopian', 'Bars']",$$,340.0,N,N,"Spruce Hill, University City",10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,10:00 AM - 2:00 AM,,3.6,35.0,"Street Parking, Bike Parking","Wednesday, Sunday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Classy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Pool Table, Wi-Fi"
Aki Nom Nom,aki-nom-nom-sushi-and-ramen-philadelphia-3,https://www.opentable.com/r/aki-nom-nom-sushi-and-ramen-reservations-philadelphia?restref=1015834&lang=en-US,"1210 Walnut St, Philadelphia, PA 19107",39.9487415,-75.16115766,http://akisushi.com,"['Sushi Bars', 'Ramen']",$$,630.0,N,N,Washington Square West,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 10:30 PM,11:30 AM - 12:00 AM,11:30 AM - 12:00 AM,11:30 AM - 10:30 PM,,3.5,58.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",True,,Takes Reservations,Outdoor Seating,Dinner,,"Happy Hour, Full Bar","TV, Wi-Fi"
