Name,Address,SIPS_URL,Website,Latitude,Longitude,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS,RW_PHOTO
1225 Raw Sushi and Sake Lounge,"1225 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#1225-raw-sushi-and-sake-lounge,https://1225rawnledas.com,39.94977845,-75.16082182,"Raw Crush - House Vodka, Triple Sec, Orange Juice, Sprite
Raw's Sunrise - Hornitos Tequilla, Pineapple Juice, Orange Juice, Grenadine
Rosey Sunset - House Gin, Lemon Juice, Raspberry Liquor, Cranberry Juice, Simple Syrup
Haku's Water - Coconut Rum, House Spiced Rum, Lime Juice, Pineapple Juice, Blue Curacao","House Red Cabernet
House White Pinot Grigio","Miller Lite
Heineken
Corona","Edamame $6, Shishito Peppers $7, Tortilla & Guac $6, Kimchi Fried Rice $7, Pork Belly Bao Bun $6 (1pc), Capital Roll $6, California Roll $6, Spicy Tuna Roll $6, Salmon Avocado Roll $6, Avocado Cucumber Roll $6",https://centercityphila.org/uploads/attachments/cj2lxzkgb00ra9vqdkiq45v7e-image1.0.174.1447.1447.full.jpg
13 Patio,"1201 Market St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#13-patio,http://philadelphiamarriottdowntown.ipoolside.com,39.952543,-75.16060408,"Pineapple Frizz- Hornitos | Pineapple Juice| Simple Syrup | Club Soda & Lime
Blue Cosmo - Vodka | Blue Curacao | Lime Juice | Simple Syrup
Strawberry Spicy Margarita - Hornitos | Lime Juice | Agave Nectar | Fresh Jalapeno | Strawberries 
Blush Sangria - Blush Wine | Triple Sec  | Lime Juice |Simple Syrup |  Vodka  | Berries & Oranges","Woodbridge Chardonnay
Woodbridge Cabernet Sauvignon","Coors Light
Bud Light
Miller Light
Michelob Ultra","Deep Fried Chickpeas  $4
Scallions | Furikake Seasoning Grilled Lemon
Everything Pretzels $7                 
Horseradish Dill Cream Dip | Breakfast Radish Persian Cucumbers | Heirloom Carrots | Maldon Salt Crushed Pink Peppercorns
         
Kennett Square Mushroom Flatbread $7 
Truffle Tremor Cheese | Onion Jam | Radish | Arugula 
“Divine” Chicken and Waffles $7
Nashville Style Chicken | Liege Waffle | Whistle Pig Syrup
 Boozy Sorbet Flight $9              
 Macarons | 3 Seasonal Sorbets",https://centercityphila.org/uploads/attachments/cljxagw2g8wllypqdpgvc48a0-mc-phldt-13-outdoor-patio-11462.450.0.1800.1800.full.jpg
1518 Bar and Grill,"1518 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#1518-bar-and-grill,http://www.1518barandgrill.com,39.950239,-75.16664344,"Mexican Mule - 2oz Hornitos Tequila, 1oz lime juice, topped with ginger beer, served on the rocks","Pinot Grigio
Chardonnay
Merlot","Millerlite
Budweiser
Kenzinger
Coorse light","All $7:
Mac and Cheese
MeatBalls
Hummus
Chicken Tenders
Wings",https://centercityphila.org/uploads/attachments/cl2qamwd205ulwdqduy6dgcio-1518-bar-n-grill.0.491.1773.1773.full.jpg
Air Grille at Dilworth Park,"1 S 15th St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#air-grill-garden-dilworth-park,http://dilworthpark.org/dining,39.9531741,-75.1646835,"Strawberry Kiwi Margarita - Triple Sec, Lime Juice, Strawberry and Kiwi Nectar, Hornitos Tequila
Maker's Sunrise - Ice Tea, Whiskey
Orange Creamsicle Fizz - Orange Seltzer, Vanilla Cream Soda, Vodka","Red Wine
White Wine","SIPS Summer Splash
76 & Sunny - Tropical Session IPA","Hot Dog
Cheddar Bacon Broccoli Bites
Cheesesteak Eggrolls (3)
Chicken Tenders and Fries
Crinkle Cut Fries (add cheese sauce +2)",https://centercityphila.org/uploads/attachments/cl2g6kk37akpv01qdtay8rjw1-22-dilworth-rollerrink-grandopening-161.225.0.798.798.full.jpg
aMuse,"1421 Arch St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#amuse,http://amusephiladelphia.com,39.95493585,-75.16416239,"Mexican Mule ( Hibiscus Ginger Beer+ Ginger Beer+ lime Juice+ Simple Syrup + Hornitos Tequila)
Summer Love ( Lemon Vodka + Ginger Liqueur + Lemon + Simple Syrup)
Day Dreamin ( Bourbon+ Aperol + Mine Liquor + Lemon)
Red and White Sangria",Backhouse Wines and Trinity Oaks Wine,"Coors Light
Michelob Ultra
Yuengling Larger
Corona,","Chicken or Buffalo Egg Rolls with Ranch or Siracha Ketchup
Hummus Platter ( Grilled Pita and Crudité)
Giant Pub Pretzel with Stoney Brown Mustard and Honey Mustard
Rocky Wings with blue cheese or Ranch ( choice of Plain, Buffalo, BBQ)
Stay here after SIPS and get 15% off dinner!",https://centercityphila.org/uploads/attachments/clwrv58g337ao3xqd5lzfz8tc-md-phlmd-merphlmdre-217787.995.0.3590.3590.full.jpg
ArtBar at Sonesta Hotel,"1800 Market St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#artbar-at-sonesta-hot,https://www.sonesta.com/sonesta-hotels-resorts/pa/philadelphia/sonesta-philadelphia-rittenhouse-square#hoteldetails_dining,39.9530129,-75.1701856,"Hornitos Paloma - Refreshing beverage with ""Hornitos Tequila"" combined with fresh ruby red grapefruit juice, simple syrup, club soda, garnished with a grapefruit wedge and rosemary sprig.

Hornitos Margarita - Classic margarita with ""Hornitos Tequila"", triple sec and lime juice, your choice of (sugar or salt), garnished with a lime.","Collier Creek (Cabernet Sauvignon)
Joel Gott (Sauvignon Blanc)","All Drafts (Michelob Ultra, Modelo Especial, Yards IPA, Samuel Adams Seasonal)","Small Plates - Classic Caesar Salad, Strawberry Cobb Salad, Mango Habanero Spiced Pretzels, Hummus Trio, Java-Spiced Loaded Tater Tots, Pimento Cheese Deviled Eggs, Grilled Chicken Wings, Angus Sliders, Shrimp PO'BOY, Charcuterie Board

Sweets- Sweet Bites for Two - Les Chouchous/Mango & Passion Fruit, Nutty Caramel Vanilla, Pistachio & Chocolate, Chocolate, Raspberry, Black Current & Vanilla
Stay here after SIPS and get 15% off dinner!",https://centercityphila.org/uploads/attachments/cl3udmic40p8jvsqd2mkq01l5-artbar.205.0.782.782.full.jpg
Attico Rooftop,"219 S Broad Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#attico-rooftop,http://www.atticorooftop.com,39.94879405,-75.16456372,"Blood Orange Margarita - Hornitos resposado tequila, blood orange, lime, orange liqueur
Strange Love - Fortified white wine, hibiscus-rose, white peach
Some Girls - Vodka, watermelon-basil, ginger, lime, soda","Pinot Grigio - Cielo, Italy
Pinot Noir - Cielo, Italy
Sparkling
Brut - Fete D'or, France
Brut Rose - Fete D'or, France","New Trail Lager - Light lager, PA, 4.8%
Warsteiner Pils - German pils, Westphalia, Germany, 4.8%","SHRIMP COCKTAIL        $3 EACH
calabrian chili & lemon (gf)
OYSTERS        $2 EACH
daily selection (gf)
CHEESE BOARD          $12
selection of 3 cheeses, preserves, 
mustards, & grilled bread (vg)
CRISPY FRIED CHICKEN SANDWICH   $8
martin’s bun, pickles, shaved lettuce, 
fancy sauce
SPICY FRIED CHICKEN BITES        $8
house hot sauce, crispy garlic, truffle ranch
ATTICO BURGER        $8
black angus beef, fontina cheese, 
shallot jam, aioli
ATTICO BURGER DELUXE        $12
double black angus beef patty, thick cut bacon, fontina cheese, shallot jam, black truffle aioli
MAINE LOBSTER TAIL        $12
SALAD SANDWICH
grilled and chilled lobster tail, lemon-saffron dressing on a buttered toasted martin’s bun
FRIES        $5
house herb seasoning",https://centercityphila.org/uploads/attachments/ciyahjvr50iafu5qdu5tzls7x-restaurant-week-sips-filler-image.0.0.720.720.full.jpg
Bank and Bourbon,"1200 Market St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#bank-and-bourbon,http://bankandbourbon.com,39.9515897,-75.160309,,,,,https://centercityphila.org/uploads/attachments/cji3g9qb9006sebqd43ekn7rf-bank-bourbon.126.0.460.460.full.jpg
Bar Bombon,"133 S 18th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#bar-bombon,http://barbombon.com,39.950618,-75.1704475,,,,,https://centercityphila.org/uploads/attachments/cj22c1xd20dnnqzqd5abq5s91-bombon.0.138.560.560.full.jpg
Bar Lesieur,"1523 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#bar-lesieur,https://www.barlesieur.com,39.95045235,-75.16619876,"Passion Fruit Paloma - Hornitos Tequila, Lime, Grapefruit Soda, Passion Fruit
Hotel Provencal - Rum, Pineapple, Nectarine Liqueur","Sauvignon Blanc
Rose",Pilsner,"Cheeseburger 7
Salmon Tartare 6 
Ham Bahn Mi 7
Beef Tartare 7 
Mushroom Toast 6
Croquettes 6
Mac & Cheese 6
Fries 5",https://centercityphila.org/uploads/attachments/clrl5413z2mp93oqdwjszd6fd-barlesieur-rw.140.0.560.560.full.jpg
