Name,Takes Reservations,Offers Delivery,Offers Takeout,Vegan Options,Many Vegetarian Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Accepts Cryptocurrency,Outdoor Seating,Trendy,Classy,Moderate Noise,Casual Dress,Offers Catering,Good for Groups,Good for Dinner,Street Parking,Validated Parking,Free Wi-Fi,Happy Hour Specials,Full Bar,TV,Gender-neutral restrooms,Good For Kids,Bike Parking,Neighborhoods,Yelp Rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Casual,Good for Lunch,Dinner,Waiter Service,Best nights on Thursday,Best nights on Friday,Best nights on Saturday,Pool Table,Wi-Fi,Dogs Allowed,Wheelchair Accessible,Heated Outdoor Seating,Private Dining,Happy Hour,Smoking,Covered Outdoor Seating,Reservations,Quiet,Valet Parking,Good For Dancing,Good For Working,Dogs Not Allowed,Takeout,Delivery,Limited Vegetarian Options,Good for Brunch,Garage Parking,Loud,Late Night,Plastic-free packaging,Provides reusable tableware,Walk-ins Welcome,Intimate,Romantic,Upscale,Private Lot Parking,Smoking Outside Only,Offers Military Discount,Open to All,Pescatarian Options,Best nights on Wednesday,Dressy,Keto Options,Drive-Thru,Not Wheelchair Accessible,Good for Breakfast,Lunch,Good for Working,Beer and Wine Only,Best nights on Monday,Best nights on Tuesday,Good For Groups,Very Loud,Good for Late Night,Best nights on Sunday,Dessert,Touristy,Black-owned,Live Music,EV charging station available,DJ,Juke Box,Soy-Free Options,Hipster,Alcohol,Asian-owned,Bring your own container allowed,Compostable containers available,Background Music,All Ages,Latinx-owned,Women-owned,Paid Wi-Fi
1225 Raw Sushi and Sake Lounge,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,3.7,Closed,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 10:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518 Bar and Grill,True,True,True,True,True,True,,,,True,,,True,,False,True,,True,,,True,True,True,,True,True,"['Penn Center', 'Rittenhouse Square']",3.9,11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Grille Garden at Dilworth Park,,,,,,,,,,,,,,,,,,,,,,,,,True,True,"['Penn Center', 'Logan Square', 'Avenue of the Arts North']",4.2,6:00 AM - 1:00 AM (Next day),6:00 AM - 1:00 AM (Next day),6:00 AM - 1:00 AM (Next day),6:00 AM - 1:00 AM (Next day),6:00 AM - 1:00 AM (Next day),6:00 AM - 1:00 AM (Next day),6:00 AM - 1:00 AM (Next day),,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Spirits & Grille,True,True,True,,True,True,,,,True,,True,,True,True,True,True,,,,,True,True,,,True,"['Penn Center', 'Rittenhouse Square']",3.7,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 10:00 PM,,,,True,,,,,True,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArtBar at Sonesta Hotel,,True,True,,,True,,False,False,True,,,,,False,True,,,,True,True,True,True,,,True,"['Penn Center', 'Rittenhouse Square']",2.8,6:30 AM - 2:00 AM (Next day),6:30 AM - 2:00 AM (Next day),6:30 AM - 2:00 AM (Next day),6:30 AM - 2:00 AM (Next day),6:30 AM - 2:00 AM (Next day),6:30 AM - 2:00 AM (Next day),6:30 AM - 2:00 AM (Next day),True,,,,,,True,True,,,True,,,,True,,True,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Balcony Bar at the Kimmel Center,,,,,,,,,,True,,True,,,,,,,,,True,,,,,,"['Avenue of the Arts South', 'Rittenhouse Square']",3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank and Bourbon,True,,True,True,,True,False,False,,True,,True,True,,True,True,,,,True,True,True,True,,True,True,,3.7,7:00 AM - 11:30 AM,7:00 AM - 11:30 AM,7:00 AM - 11:30 AM,7:00 AM - 11:30 AM,7:00 AM - 11:30 AM,7:00 AM - 1:00 PM,7:00 AM - 1:00 PM,,,True,True,,,,,,,True,,,,,,,,,,,False,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar-Ly Chinatown,True,True,True,True,,True,False,False,,True,,,,,True,True,True,True,,True,True,True,True,,True,True,['Market East'],3.8,3:00 PM - 1:00 AM (Next day),3:00 PM - 1:00 AM (Next day),3:00 PM - 1:00 AM (Next day),3:00 PM - 1:00 AM (Next day),3:00 PM - 2:00 AM (Next day),3:00 PM - 2:00 AM (Next day),12:30 PM - 1:00 AM (Next day),True,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbuzzo,True,True,True,True,,True,False,False,,True,True,,,True,False,True,True,True,,,True,True,True,True,True,True,['Avenue of the Arts South'],4.3,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,,,,True,,,,,True,,,,,,,,,,,,,False,,,True,,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barstool Sansom Street,,,,,,,,,,,,,,,,,,,,,True,True,True,,,,,2.3,4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),4:00 PM - 2:00 AM (Next day),11:00 AM - 2:00 PM,11:00 AM - 2:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Black Sheep,,,,,,True,,False,,True,,,,,,True,,True,,True,True,True,True,True,,True,['Rittenhouse Square'],3.6,11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 12:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 2:00 AM (Next day),11:00 AM - 12:00 AM (Next day),True,,,,True,True,True,True,,,,,,,,,True,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodega Taco Bar,True,True,True,True,,True,True,False,False,True,,True,True,True,False,True,,True,,True,True,True,True,True,,True,,3.7,Closed,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,5:00 PM - 2:00 AM (Next day),5:00 PM - 2:00 AM (Next day),5:00 PM - 12:00 AM (Next day),True,,,True,,,,,,,True,,,,,,,,,,,False,,,,,True,,,,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
