Name,Address,RW_URL,Website,RW_PHOTO,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK
1225 Raw Sushi and Sake Lounge,"1225 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#1225-raw-sushi-and-sake-lounge,https://1225rawnledas.com,https://centercityphila.org/uploads/attachments/civfnn03m00tjlzqdbz4820gx-dining-room-2.268.0.1080.1080.full.jpg,Participating in dinner only. Offering indoor and outdoor dining. Closed Monday. ,$45 dinner menu coming soon.,,https://www.opentable.com/restaurant/profile/1327702/reserve?ref=939
a.kitchen,"135 S 18th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#akitchen-bar,,https://centercityphila.org/uploads/attachments/civfpt13h00vvkgqdz40tapb6-a-kitchen-2.144.0.576.576.full.jpg,Participating in dinner only. Offering indoor dining. Parties of 8 or more must do a prix fixe menu. ,$60 dinner menu coming soon. ,,
Aki Nom Nom,"1210 Walnut St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#aki-nom-nom,http://akisushi.com,https://centercityphila.org/uploads/attachments/civfnv30300t0l7qd1j8vgebz-img-3255.846.23.2405.2405.full.jpg,"Participating in lunch, dinner and takeout. Offering indoor dining. ",$45 dinner menu coming soon.,,
Alice Pizza,"235 S 15th Street, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#alice-pizza,http://www.alicephilly.com,https://centercityphila.org/uploads/attachments/ck55ngp8o27cm01qdrl2ydun8-gran-caffe.309.0.760.760.full.jpg,"Participating in lunch, dinner and takeout. Offering indoor dining. Restaurant Week menu cannot be split between 2 people. ",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clr518z621ru6xwqd0ntxxroe-alicedinner.pdf,
Amada,"217-219 Chestnut St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#amada,http://www.amadarestaurant.com,https://centercityphila.org/uploads/attachments/civfo0umy00t6l7qd6w4pmbxn-amada-croquetas-de-jamon-amada.341.0.1365.1365.full.jpg,Participating in dinner only. Offering indoor dining. ,$45 dinner menu coming soon.,,https://www.opentable.com/restaurant/profile/5129/reserve?ref=939
Amina,"104 Chestnut St, Philadelphia, PA 19106",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#amina,http://aminaphilly.com,https://centercityphila.org/uploads/attachments/clkwuzpb1ajrp0vqdk9umna1x-aminapic.79.0.482.482.full.jpg,"Participating in dinner and takeout. Offering indoor dining. Not participating on Saturday, January 27 and Saturday, February 3. Please call restaurant for parties over 6. ",$45 DINNER,https://centercityphila.org/uploads/attachments/clq120ks609v655qdwgdq1f5m-amina.pdf,https://www.opentable.com/restaurant/profile/1239313/reserve?ref=939
Ancient Spirits & Grille,"1726 Chestnut St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#ancient-spirits-grille,https://asgphilly.com,https://centercityphila.org/uploads/attachments/cktiohlqd29qppeqdo66u5jyn-ancient-spirits-grille.0.0.1080.1080.full.jpg,"Participating in lunch and dinner. Offering indoor and outdoor dining. For Opentable reservations, 15 guests are considered a large party and 2 guests are a small party. ",$45 DINNER | $20 LUNCH | COCKTAILS,https://centercityphila.org/uploads/attachments/clpvcd6jb02pz55qdqpwx70fs-ancient-dinner.pdf,https://www.opentable.com/restaurant/profile/1177882/reserve?ref=939
Attico Rooftop,"219 S Broad Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#attico-rooftop,http://www.atticorooftop.com,https://centercityphila.org/uploads/attachments/ciyahjvr50iafu5qdu5tzls7x-restaurant-week-sips-filler-image.0.0.720.720.full.jpg,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining. Closed Mondays and Tuesdays. Parties of 10 require a minimum. ",$45 DINNER,https://centercityphila.org/uploads/attachments/clr5evast1sn6afqdzntvp7d7-attico.pdf,
Bahn Mi and Bottles,"712-14 South St, Philadelphia, PA 19147",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bahn-mi-and-bottles,https://www.banhmiandbottles.com,https://centercityphila.org/uploads/attachments/cll2okayaa5wkomqdpwvnr7wz-banh-mi.500.0.2833.2833.full.jpg,"h, dinner and takeout. Lunch only available on Saturday and Sunday. Closed Mondays. Offering indoor dining. Can accomodate large parties. ",$45 dinner menu coming soon.  ,,
Bank and Bourbon,"1200 Market St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#bank-and-bourbon,http://bankandbourbon.com,https://centercityphila.org/uploads/attachments/civ1akmdk007jx7qdq51skqfv-bank-bourbon.480.0.960.960.full.jpg, Participating in lunch and dinner. Offering indoor dining. ,$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clpx1czxt05i0afqdlwbr9yzf-bank-bourbondinner-1.pdf,
