Rank,Name,Cuisine,Neighborhood,Website,Address,Latitude,Longitude
1,Friday Saturday Sunday,New American,Rittenhouse,https://www.fridaysaturdaysunday.com/,261 South 21st Street,39.94893355,-75.17593076058515
2,Kalaya,Thai,Fishtown,https://www.kalaya.net/,4 West Palmer Street,39.976582,-75.136004
3,Her Place Supper Club,French and Italian,Rittenhouse,https://www.herplacephilly.com/,1740 Sansom Street,39.950766349999995,-75.17017085368721
4,Ambra,Italian,Queen Village,https://www.ambraphilly.com/,705 South 4th Street,39.940328111111114,-75.14935544444444
5,Kim’s BBQ,Korean BBQ,North Philly,http://kimsbbqrestaurant.com/,5955 North 5th Street,40.042108142857145,-75.12915328571428
6,Southeast Asian Market at FDR Park,Southeast Asian,South Philly,https://www.fdrseamarket.com/,1500 Pattison Avenue,39.90556330434783,-75.17581014381271
7,Zahav,Israeli,Society Hill,https://www.zahavrestaurant.com/,237 St. James Place,39.9463061,-75.1451873
8,Royal Sushi & Izakaya,Japanese,Queen Village,http://royalsushiandizakaya.com/,780 South 2nd Street,39.9380401,-75.1465169
9,"Vernick Fish, Food & Drink",American,Logan Square and Rittenhouse,https://vernickphilly.com/,"1 North 19th Street, 2301 Walnut Street",39.95076379690599,-75.1748966158223
10,Zeppoli,Sicilian,Collingswood,https://zeppolirestaurant.com/,618 West Collings Avenue,39.91163485704451,-75.08675028878946
11,Ground Provisions,Vegan,West Chester,https://www.groundprovisionspa.com/,1388 Old Wilmington Pike,39.90318929359695,-75.56554265543623
12,Gabriella’s,Vietnamese,East Passyunk,https://gabriellasvietnam.com/,1837 East Passyunk Avenue,39.9268564,-75.166972
13,Irwin’s,Sicilian,East Passyunk,https://www.irwinsupstairs.com/,800 Mifflin Street,39.9254197,-75.159874
14,Pietramala,Vegan,Northern Liberties,https://www.pietramalaphl.com/,614 North 2nd Street,39.961427,-75.1414169
15,Càphê Roasters,Vietnamese,Kensington,https://www.capheroasters.com/,"3400 J Street, unit G1",39.99927686602137,-75.10873117245718
16,Vetri Cucina,Italian,Midtown Village,https://vetricucina.com/,1312 Spruce Street,39.9467368,-75.163189
17,Down North,Pizza,North Philly,https://www.downnorthpizza.com/,2804 West Lehigh Avenue,39.996779230769235,-75.17716261538462
18,Tabachoy,Filipino,Bella Vista,https://www.tabachoyphilly.com/,932 South 10th Street,39.93834125,-75.15980742316054
19,Roxanne,American Expressionism,Bella Vista,https://www.instagram.com/roxanne_philly/,912 Christian Street,39.938851400000004,-75.15830093399433
20,Laser Wolf,Israeli,Kensington,http://www.laserwolfphilly.com/,1301 North Howard Street,39.970629,-75.13666
21,El Mezcal Cantina,Mexican,Point Breeze,https://www.instagram.com/elmezcalcantina/,1260 Point Breeze Avenue,39.93585757142857,-75.1783425
22,EMei,Szechuan,Chinatown,https://www.emeiphilly.com/,915 Arch Street,39.9537368,-75.15540201044954
23,Angelo’s,Pizza and Sandwiches,Bella Vista,https://angelospizzeriasouthphiladelphia.com/,736 South 9th Street,39.940697,-75.1575784
24,Salam Cafe,Ethiopian and Middle Eastern,Germantown,https://www.facebook.com/SalamCafePhl/,5532 Greene Street,40.03291508163266,-75.17486430612246
25,Hadramout,Yemeni,University City,"https://www.google.com/maps/place/Hadramout+Restaurant/@39.9557186,-75.2117167,15z/data=!4m2!3m1!1s0x0:0xcbc77982792491b3?sa=X&ved=2ahUKEwjM9puJy6r8AhWWFFkFHXOKCnYQ_BJ6BQiDARAI",136 South 45th Street,39.95587988888889,-75.21165233333333
26,China Gourmet,Cantonese,Northeast Philly,https://phillychinagourmet.com/,2842 St. Vincent Street,40.04175281770863,-75.05442029690307
27,Hardena,Indonesian,Point Breeze,https://www.instagram.com/hardenaphilly/,1754 South Hicks Street,39.9284585,-75.1712582
