BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
12 STEPS DOWN,BAR,8:00 PM,WEDNESDAY,,BELLA VISTA,831 CHRISTIAN ST,,PHILADELPHIA,PA,19147,GIFT_CARD,30,GIFT_CARD,15,,,HTOTHEQUIZZO,MUSIC_QUIZZO
SEPARATIST BEER PROJECT,BAR,8:00 PM,THURSDAY,,,101 NORTHAMPTON ST,,EASTON,PA,18042,,,,,,,MFROME8,QUIZZO
KRICK WUDER SALOON,BAR,7:00 PM,WEDNESDAY,,BRIDESBURG,2676 BRIDGE ST,,PHILADELPHIA,PA,19137,,,,,,,THEPHILLYCAPTAIN,QUIZZO
DAVE AND BUSTER'S,"BAR,ARCADE",7:30 PM,TUESDAY,,DELAWARE AVE,325 N CHRISTOPHER COLUMBUS BLVD,,PHILADELPHIA,PA,19106,,,,,,,GEEKS WHO DRINK,QUIZZO
TOP GOLF,"BAR,GOLF",6:30 PM,THURSDAY,,NORTHEAST PHILADELPHIA,2140 BYBERRY RD,,PHILADELPHIA,PA,19116,,,,,,,GEEKS WHO DRINK,QUIZZO
NORTH PENN SOCIAL CLUB,"BAR,SOCIAL_CLUB",7:30 PM,TUESDAY,,,141 S MAIN ST,,NORTH WALES,PA,19454,,,,,,,THE QUIZZO GUYS,QUIZZO
PHILADELPHIA BREWING COMPANY,BREWERY,7:30 PM,TUESDAY,,EAST KENSINGTON,2440 FRANKFORD AVE,,PHILADELPHIA,PA,19125,,,,,,,BARRETT,QUIZZO
EVIL GENIUS BEER COMPANY,BREWERY,7:00 PM,WEDNESDAY,,FISHTOWN,1727 N FRONT ST,,PHILADELPHIA,PA,19122,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
NESHAMINY BREWING,BREWERY,7:05 PM,THURSDAY,THIRD_OF_MONTH,,909 RAY AVE,,CROYDON,PA,19021,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
NESHAMINY CREEK BREWING DUBLIN,BREWERY,7:00 PM,THURSDAY,FIRST_OF_MONTH,,139 N MAIN ST,UNIT 1,DUBLIN,PA,18917,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
