BUSINESS,TIME,WEEKDAY,NEIGHBORHOOD,PRIZE_1_AMOUNT,HOST,Full Address,EVENT_TYPE
THE PLOUGH,7:30 PM,MONDAY,OLD CITY,,,"OLD CITY, PHILADELPHIA, PA",QUIZZO
STRANGELOVE'S,8:00 PM,MONDAY,CENTER CITY,$40 GC,JB,"216 S 11TH STREET, PHILADELPHIA, PA 19107",QUIZZO
NEW WAVE CAFE,8:00 PM,MONDAY,BELLA VISTA,"$50, $25",JAWNYQ,"BELLA VISTA, PHILADELPHIA, PA",QUIZZO
CEDAR POINT,7:00 PM,MONDAY,FISHTOWN,,THE PHILLY QUIZZO,"FISHTOWN, PHILADELPHIA, PA",QUIZZO
TIN CAN BAR,6:00 PM,MONDAY,PORT RICHMOND,$50 GC,ELI'S QUIZZO REVIVAL,"2537 E SOMERSET ST, PHILADELPHIA, PA 19134",QUIZZO
STOGIE JOE'S,7:00 PM,MONDAY,NEWBOLD,"$100 CASH, $50 GC, $25 GC",,"1721 S CHADWICK ST, PHILADELPHIA, PA 19145",QUIZZO
TWISTED GINGERS,6:30 PM,MONDAY,MANYUNK,,BREWTENANT DAN,"MANYUNK, PHILADELPHIA, PA",QUIZZO
CAVANAUGH'S RITTENHOUSE,6:30 PM,MONDAY,RITTENHOUSE,,QUIZZOINPHILLY,"1823 SANSOM ST, PHILADELPHIA, PA 19103",QUIZZO
PROHIBITION TAPROOM,8:00 PM,MONDAY,CALLOWHILL,,@H_TO_THE_QUIZZO,"CALLOWHILL, PHILADELPHIA, PA",QUIZZO
JOSE PISTOLA'S,7:00 PM,MONDAY,CENTER CITY,,,"CENTER CITY, PHILADELPHIA, PA",QUIZZO
MILKBOY SOUTH STREET,7:00 PM,MONDAY,SOUTH STREET,,,"SOUTH STREET, PHILADELPHIA, PA",QUIZZO
VICTORY BREWING COMPANY,6:30 PM,MONDAY,CENTER CITY,,,"1776 BEN FRANKLIN PARKWAY, PHILADELPHIA, PA 19103",QUIZZO
BONK'S BAR,8:00 PM,TUESDAY,PORT RICHMOND,,,"3467 RICHMOND ST, PHILADELPHIA, PA 19134",QUIZZO
OUR TOWN TAPROOM,7:00 PM,TUESDAYS,FRANCISVILLE,"$25 GC, ROUND OF DRINKS, MYSTERY",,"FRANCISVILLE, PHILADELPHIA, PA",QUIZZO
BOTTLE BAR,7:00 PM,TUESDAY,FISHTOWN,,LUNCHMONEYQUIZZO,"FISHTOWN, PHILADELPHIA, PA",QUIZZO
THE GREEN ROOM,8:00 PM,TUESDAY,FAIRMOUNT,,,"FAIRMOUNT, PHILADELPHIA, PA",QUIZZO
ORTLIEB'S,9:00 PM,TUESDAY,NORTHERN LIBERTIES,,@MINDBENDERTRIVIA,"847 N 3RD STREET, PHILADELPHIA, PA",QUIZZO
THE POST,7:00 PM,TUESDAY,UNIVERSITY CITY,,@SJKMEDIA1,"129 S 30TH ST, PHILADELPHIA, PA 19104",QUIZZO
ERA,8:30 PM,TUESDAYS,BREWERYTOWN,GRIZZO QUIZZO,,"28TH AND POPLAR, PHILADELPHIA, PA",QUIZZO
JERRY'S BAR,7:00 PM,TUESDAY,NORTHERN LIBERTIES,$50 GC AND OTHER,THEPHILLYQUIZZO,"129 W LAUREL ST, PHILADELPHIA, PA 19123",QUIZZO
JD MCGILLICUDY'S,8:00 PM,TUESDAY,MANYUNK,,,"MANYUNK , PHILADELPHIA, PA",QUIZZO
INTERSTATE DRAFTHOUSE,8:00 PM,TUESDAY,FISHTOWN,,ANXIOUS MILLENIAL QUIZZO,"FISHTOWN, PHILADELPHIA, PA",QUIZZO
THE BRASS TAP,8:00 PM,TUESDAY,MANAYUNK,,,"MANAYUNK, PHILADELPHIA, PA",QUIZZO
ATTIC BREWING,7:00 PM,TUESDAY,MOUNT AIRY,,@PHILLYQUIZZO,"MOUNT AIRY, PHILADELPHIA, PA",QUIZZO
BONNER'S IRISH PUB,7:00 PM,TUESDAY,FITLER SQUARE,,JOEY C,"FITLER SQ?, PHILADELPHIA, PA",QUIZZO
CITY WINERY,7:00 PM,TUESDAY,CENTER CITY,,,"CENTER CITY, PHILADELPHIA, PA",QUIZZO
GAUL & CO MALT HOUSE,7:00 PM,TUESDAY,PORT RICHMOND,,SEALYONS86,"2619 E INDIANA AVE, PHILADELPHIA, PA",QUIZZO
THE AMBASSADOR,8:00 PM,TUESDAY,KENSINGTON,$50 GC,HTOTHEQUIZZO,"635 W GIRARD AVE, PHILADELPHIA, PA 19123",MUSIC_QUIZZO
BAR PALMINA (NA),7:00 PM,TUESDAY,FISHTWON,,@WHIZWITTRIVIA,"FISHTWON, PHILADELPHIA, PA",QUIZZO
BAR LY,6:30 PM,TUESDAY,CHINATOWN,,,"101 N 11TH ST, PHILADELPHIA PA 19107",QUIZZO
DAVE AND BUSTER'S,7:30 PM,TUESDAY,DELAWARE AVE,,GEEKS WHO DRINK,"DELAWARE AVE, PHILADELPHIA, PA",QUIZZO
DAWSON STREET PUB,8:00 PM,TUESDAY,MANYUNK,,,"MANYUNK, PHILADELPHIA, PA",QUIZZO
TOP TOMATO,7:00 PM,TUESDAY,CENTER CITY,,,"116 S 11TH ST, PHILADELPHIA, PA 19107",QUIZZO
FOUNDING FATHERS,8:00 PM,TUESDAY,SOUTH STREET,,JOHNNY GOODTIMES,"1612 SOUTH ST, PHILADELPHIA, PA 19146",QUIZZO
