BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
12 STEPS DOWN,BAR,,BELLA VISTA,831 CHRISTIAN ST,,PHILADELPHIA,PA,19147.0,"831 CHRISTIAN ST, PHILADELPHIA, PA, 19147",39.9390528,-75.1576839,8:00 PM,WEDNESDAY,GIFT_CARD,GC: $30,GIFT_CARD, $15,,,HTOTHEQUIZZO,MUSIC
SEPARATIST BEER PROJECT,BAR,,,101 NORTHAMPTON ST,,EASTON,PA,18042.0,"101 NORTHAMPTON ST, EASTON, PA, 18042",40.6915203,-75.205375,8:00 PM,THURSDAY,,,,,,,MFROME8,QUIZZO
KRICK WUDER SALOON,BAR,,BRIDESBURG,2676 BRIDGE ST,,PHILADELPHIA,PA,19137.0,"2676 BRIDGE ST, PHILADELPHIA, PA, 19137",40.003617,-75.0664363,7:00 PM,WEDNESDAY,,,,,,,THEPHILLYCAPTAIN,QUIZZO
DAVE AND BUSTER'S,"BAR,ARCADE",,DELAWARE AVE,325 N CHRISTOPHER COLUMBUS BLVD,,PHILADELPHIA,PA,19106.0,"325 N CHRISTOPHER COLUMBUS BLVD, PHILADELPHIA, PA, 19106",39.9549841,-75.1394961,7:30 PM,TUESDAY,,,,,,,GEEKS WHO DRINK,QUIZZO
TOP GOLF,"BAR,GOLF",,NORTHEAST PHILADELPHIA,2140 BYBERRY RD,,PHILADELPHIA,PA,19116.0,"2140 BYBERRY RD, PHILADELPHIA, PA, 19116",40.1066239,-75.0031664,6:30 PM,THURSDAY,,,,,,,GEEKS WHO DRINK,QUIZZO
NORTH PENN SOCIAL CLUB,"BAR,SOCIAL_CLUB",,,141 S MAIN ST,,NORTH WALES,PA,19454.0,"141 S MAIN ST, NORTH WALES, PA, 19454",40.2105502,-75.2768306,7:30 PM,TUESDAY,,,,,,,THE QUIZZO GUYS,QUIZZO
PHILADELPHIA BREWING COMPANY,BREWERY,,EAST KENSINGTON,2440 FRANKFORD AVE,,PHILADELPHIA,PA,19125.0,"2440 FRANKFORD AVE, PHILADELPHIA, PA, 19125",39.9823471,-75.1271578,7:30 PM,TUESDAY,,,,,,,BARRETT,QUIZZO
EVIL GENIUS BEER COMPANY,BREWERY,,FISHTOWN,1727 N FRONT ST,,PHILADELPHIA,PA,19122.0,"1727 N FRONT ST, PHILADELPHIA, PA, 19122",39.9757484,-75.1338733,7:00 PM,WEDNESDAY,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
NESHAMINY BREWING,BREWERY,THIRD_OF_MONTH,,909 RAY AVE,,CROYDON,PA,19021.0,"909 RAY AVE, CROYDON, PA, 19021",40.0853767,-74.9022245,7:05 PM,THURSDAY,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
NESHAMINY CREEK BREWING DUBLIN,BREWERY,FIRST_OF_MONTH,,139 N MAIN ST,UNIT 1,DUBLIN,PA,18917.0,"139 N MAIN ST, UNIT 1, DUBLIN, PA, 18917",40.368863,-75.2816328,7:00 PM,THURSDAY,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
VONC BREWING CO.,BREWERY,,,1210 STANBRIDGE ST,SUITE 300,NORRISTOWN,PA,19401.0,"1210 STANBRIDGE ST, SUITE 300, NORRISTOWN, PA, 19401",40.1299855,-75.3453432,7:00 PM,THURSDAY,,,,,,,MIKE ARGY,QUIZZO
FAT LADY BREWING,BREWERY,,MANAYUNK,4323 MAIN ST,,PHILADELPHIA,PA,19127.0,"4323 MAIN ST, PHILADELPHIA, PA, 19127",40.0253364,-75.2227355,7:00 PM,WEDNESDAY,GIFT_CARD,$25,CASH, $15,CASH, $10,QUIZZOMAN,QUIZZO
BROKEN GOBLET BREWING,BREWERY,,,2500 STATE ROAD,,ANDALUSIA,PA,19120.0,"2500 STATE ROAD, ANDALUSIA, PA, 19120",40.0634142,-74.9666794,8:00 PM,WEDNESDAY,,,,,,,RIGHTEOUS JOLLY,QUIZZO
PUNCH BUGGY BREWING COMPANY,BREWERY,,FISHTOWN,1445 N AMERICAN ST,,PHILADELPHIA,PA,19122.0,"1445 N AMERICAN ST, PHILADELPHIA, PA, 19122",39.9736573,-75.1397376,7:30 PM,WEDNESDAY,,,,,,,SEAN MAGUIRE,QUIZZO
FREE WILL BREWING CO.,BREWERY,,,410 E WALNUT ST,"#1, 10",PERKASIE,PA,18944.0,"410 E WALNUT ST, #1, 10, PERKASIE, PA, 18944",40.3649382,-75.288328,7:00 PM,WEDNESDAY,,,,,,,THE QUIZZO GUYS,QUIZZO
CARTESIAN BREWING,BREWERY,,SOUTH PHILADELPHIA,326 E PASSYUNK AVE,,PHILADELPHIA,PA,19147.0,"326 E PASSYUNK AVE, PHILADELPHIA, PA, 19147",39.9369904,-75.1547917,7:00 PM,THURSDAY,,,,,,,TRIVIA MONTY,QUIZZO
AXE AND ARROW BREWING,BREWERY,,,105 HIGH ST W,,GLASSBORO,NJ,8028.0,"105 HIGH ST W, GLASSBORO, NJ, 8028",40.2933253,-73.9978509,7:00 PM,WEDNESDAY,,,,,,,TRIVIAME,QUIZZO
SOURCE,BREWERY,,FISHTOWN,1101 FRANKFORD AVE,,PHILADELPHIA,PA,19125.0,"1101 FRANKFORD AVE, PHILADELPHIA, PA, 19125",39.967718,-75.134316,7:00 PM,MONDAY,,,,,,,TRIVIATAINMENT,QUIZZO
MEYERS BREWING COMPANY,BREWERY,,FISHTOWN,436 E GIRARD AVE,,PHILADELPHIA,PA,19125.0,"436 E GIRARD AVE, PHILADELPHIA, PA, 19125",39.9704195,-75.129135,7:30 PM,THURSDAY,,,,,,,,QUIZZO
NAKED BREWING COMPANY,BREWERY,,,212 MILL ST,,BRISTOL BOROUGH,PA,19007.0,"212 MILL ST, BRISTOL BOROUGH, PA, 19007",40.0951389,-74.8574916,7:00 PM,TUESDAY,,,,,,,,QUIZZO
MECHANICAL BREWERY,BREWERY,,,5 PERINA BLVD SUITE,800,CHERRY HILL,NJ,8003.0,"5 PERINA BLVD SUITE, 800, CHERRY HILL, NJ, 8003",39.90107159488436,-74.98447087425866,6:30 PM,THURSDAY,,,,,,,,QUIZZO
BALD BIRDS BREWING,BREWERY,,,970 RITTENHOUSE RD,#400,AUDUBON,PA,19403.0,"970 RITTENHOUSE RD, #400, AUDUBON, PA, 19403",40.1266302,-75.4165027,7:00 PM,WEDNESDAY,,,,,,,,QUIZZO
LUNACY BREWING COMPANY,BREWERY,"SECOND_OF_MONTH,FOURTH_OF_MONTH",,1500 W KINGS HWY,,HADDON HEIGHTS,NJ,8035.0,"1500 W KINGS HWY, HADDON HEIGHTS, NJ, 8035",39.88165,-75.07849,7:00 PM,THURSDAY,,,,,,,,QUIZZO
LOWER FORGE BREWERY,BREWERY,,,14 S MAIN ST,,MEDFORD,NJ,8055.0,"14 S MAIN ST, MEDFORD, NJ, 8055",39.8991599,-74.8237133,7:00 PM,THURSDAY,,,,,,,,QUIZZO
URBAN VILLAGE BREWING CO.,"BREWERY,BAR",,NORTHERN LIBERTIES,1001 N 2ND ST,,PHILADELPHIA,PA,19123.0,"1001 N 2ND ST, PHILADELPHIA, PA, 19123",39.9670501,-75.1398455,8:00 PM,THURSDAY,GIFT_CARD,40.0,GIFT_CARD,25.0,GIFT_CARD,10.0,,QUIZZO
LOVE CITY BREWING,"BREWERY,FOOD_TRUCKS",FIRST_OF_MONTH,CALLOWHILL,1023 HAMILTON ST,,PHILADELPHIA,PA,19123.0,"1023 HAMILTON ST, PHILADELPHIA, PA, 19123",39.9602868,-75.1552483,8:00 PM,WEDNESDAY,,,,,,,WILL WALKER,O
