BUSINESS,TIME,WEEKDAY,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
THE PLOUGH,7:30 PM,,OLD CITY,,,,,,,,,,,,,
STRANGELOVE'S,8:00 PM,,CENTER CITY,216 S 11TH STREET,,PHILADELPHIA,PA,19107.0,GIFT_CARD,$40 GC,,,,,JB,
NEW WAVE CAFE,8:00 PM,,BELLA VISTA,,,,,,GIFT_CARD,$50,, $25,,,JAWNYQ,
CEDAR POINT,7:00 PM,,FISHTOWN,,,,,,,,,,,,THE PHILLY QUIZZO,
TIN CAN BAR,6:00 PM,,PORT RICHMOND,2537 E SOMERSET ST,,PHILADELPHIA,PA,19134.0,GIFT_CARD,$50 GC,,,,,ELI'S QUIZZO REVIVAL,
STOGIE JOE'S,7:00 PM,,NEWBOLD,1721 S CHADWICK ST,,PHILADELPHIA,PA,19145.0,GIFT_CARD,$100 CASH,, $50 GC,, $25 GC,,
TWISTED GINGERS,6:30 PM,,MANYUNK,,,,,,,,,,,,BREWTENANT DAN,
CAVANAUGH'S RITTENHOUSE,6:30 PM,,RITTENHOUSE,1823 SANSOM ST,,PHILADELPHIA,PA,19103.0,,,,,,,QUIZZOINPHILLY,
JOSE PISTOLA'S,7:00 PM,,CENTER CITY,,,,,,,,,,,,,
VICTORY BREWING COMPANY,6:30 PM,,CENTER CITY,1776 BEN FRANKLIN PARKWAY,,PHILADELPHIA,PA,19103.0,,,,,,,,
THE BOOZY MUTT,7:00 PM,,BREWERYTOWN/FAIRMOUNT,,,,,,,,,,,,,
BONK'S BAR,8:00 PM,,PORT RICHMOND,3467 RICHMOND ST,,PHILADELPHIA,PA,19134.0,,,,,,,,
OUR TOWN TAPROOM,7:00 PM,,FRANCISVILLE,,,,,,GIFT_CARD,$25 GC,, ROUND OF DRINKS,, MYSTERY,,
BOTTLE BAR,7:00 PM,,FISHTOWN,,,,,,,,,,,,LUNCHMONEYQUIZZO,
THE GREEN ROOM,8:00 PM,,FAIRMOUNT,,,,,,,,,,,,,
ORTLIEB'S ,9:00 PM,,NORTHERN LIBERTIES,,,,,,,,,,,,@MINDBENDERTRIVIA,
THE POST,7:00 PM,,UNIVERSITY CITY,129 S 30TH ST,,PHILADELPHIA,PA,19104.0,,,,,,,,
ERA,8:30 PM,,BREWERYTOWN ,,,,,,GIFT_CARD,GRIZZO QUIZZO,,,,,,"4/2, 4/16, 4/30, 5/14, 5/28"
