BUSINESS,BUSINESS_TAGS,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,Full Address,Latitude,Longitude,TIME,WEEKDAY,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE
12 STEPS DOWN,BAR,,BELLA VISTA,831 CHRISTIAN ST,,PHILADELPHIA,PA,19147.0,"831 CHRISTIAN ST, PHILADELPHIA, PA, 19147",39.9390528,-75.1576839,8:00 PM,WEDNESDAY,GIFT_CARD,GC: $30,GIFT_CARD, $15,,,HTOTHEQUIZZO,MUSIC
39 NORTH,,,GLENOLDEN,110 S MacDade Blvd,,,PA,19036.0,"110 S MacDade Blvd, Glenolden, PA 19036",39.9036968860623,-75.2949812447982,,,,,,,,,THOMPSON ENTERTAINMENT,
ADOBE,,,BELLA VISTA,800 Fitzwater St,,,PA,19147.0,"800 Fitzwater St, Philadelphia, PA 19147",39.940614199296,-75.1559723333334,8:00 PM,,,,,,,,,
ADOBE CAFE,"RESTAURANT,BAR,CANTINA",,BELLA VISTA,736 S 8TH ST,,PHILADELPHIA,PA,19147.0,"736 S 8TH ST, PHILADELPHIA, PA, 19147",39.9404652,-75.1561305,8:00 PM,THURSDAY,,,,,,,,QUIZZO
ATTIC BREWING,,,MOUNT AIRY,137 Berkley St,,,PA,19144.0,"137 Berkley St, Philadelphia, PA 19144",40.02315,-75.16105,7:00 PM,,,,,,,,@PHILLYQUIZZO,
BAR LY,"RESTAURANT,BAR",,CHINATOWN,101 N 11TH ST,,PHILADELPHIA,PA,19107.0,"101 N 11TH ST, PHILADELPHIA, PA, 19107",39.9541459,-75.1576212,6:30 PM,TUESDAY,,,,,,,,QUIZZO
BARNABY'S WEST CHESTER,,,WEST CHESTER,15 S High St,,,PA,19382.0,"15 S High St, West Chester, PA 19382",39.959589,-75.603806,7:30 & 10 PM,,,,,,,,MR QUIZZO,
BARSTOOL SANSOM STREET,"RESTAURANT,BAR",,CENTER CITY,1213 SANSOM ST,,PHILADELPHIA,PA,19107.0,"1213 SANSOM ST, PHILADELPHIA, PA, 19107",39.9497592,-75.1606674,7:00 PM,TUESDAY,,,,,,,LUNCH MONEY QUIZZO,QUIZZO
BLACK TAXI,"RESTAURANT,BAR",,FAIRMOUNT,745 N 25TH ST,,PHILADELPHIA,PA,19130.0,"745 N 25TH ST, PHILADELPHIA, PA, 19130",39.9687403,-75.1781976,7:00 PM,WEDNESDAY,,,,,,,TIM STEPHENS,QUIZZO
BOBBY RAY'S PENNSAUKEN TAVERN,,,PENNSAUKEN,6324 Westfield Ave,,,NJ,8110.0,"6324 Westfield Ave, Pennsauken, NJ 08110",39.9642566,-75.056171,7:00 PM,,,,,,,,THE QUIZ KIDS,
BONK'S BAR,"RESTAURANT,BAR",,PORT RICHMOND,3467 RICHMOND ST,,PHILADELPHIA,PA,19134.0,"3467 RICHMOND ST, PHILADELPHIA, PA, 19134",39.9862867,-75.0948654,8:00 PM,TUESDAY,,,,,,,,QUIZZO
BONNER'S IRISH PUB,,,RITTENHOUSE SQUARE,120 S 23rd St,,,PA,19103.0,"120 S 23rd St, Philadelphia, PA 19103",39.9520454,-75.1784515,7:00 PM,,,,,,,,JOEY C,
BORDENTOWN SQUARE,,,"BORDENTOWN, NJ",233 Farnsworth Ave,,,NJ,8505.0,"233 Farnsworth Ave, Bordentown, NJ 08505",40.14647373488458,-74.7117815,8:00 PM,,,,,,,,QUIZZOHOLICS,
BOTTLE BAR,,,FISHTOWN,1308 Frankford Ave,,,PA,19125.0,"1308 Frankford Ave, Philadelphia, PA 19125",39.9705167859793,-75.1344942301512,7:00 PM,,,,,,,,LUNCHMONEYQUIZZO,
BOURBON AND BRANCH,,,NORTHERN LIBERTIES,705 N 2nd St,,,PA,19123.0,"705 N 2nd St, Philadelphia, PA 19123",39.96207,-75.14104,8:00 PM,,,,,,,,,
BRIDGET FOY'S,,,SOCIETY HILL,200 South St,,,PA,19147.0,"200 South St, Philadelphia, PA 19147",39.941136,-75.145826,7:00 PM,,,,,,,,,
CARTESIAN BREWING,BREWERY,,SOUTH PHILADELPHIA,326 E PASSYUNK AVE,,PHILADELPHIA,PA,19147.0,"326 E PASSYUNK AVE, PHILADELPHIA, PA, 19147",39.9369904,-75.1547917,7:00 PM,THURSDAY,,,,,,,TRIVIA MONTY,QUIZZO
CEDAR POINT,,,FISHTOWN,2370 E Norris St,,,PA,19125.0,"2370 E Norris St, Philadelphia, PA 19125",39.9768423,-75.1277643,7:00 PM,,,,,,,,THE PHILLY QUIZZO,
CHESTNUT HILL BREWING COMPANY,"BREWERY,RESTAURANT",,CHESTNUT HILL,8231 GERMANTOWN AVE,,PHILADELPHIA,PA,19118.0,"8231 GERMANTOWN AVE, PHILADELPHIA, PA, 19118",40.073592,-75.2028298,7:00 PM,WEDNESDAY,GROWLER,1.0,,,,,,QUIZZO
CITY WINERY,WINERY,LAST_OF_MONTH,CENTER CITY,990 FILBERT ST,,PHILADELPHIA,PA,19107.0,"990 FILBERT ST, PHILADELPHIA, PA, 19107",39.9522713,-75.156091,7:00 PM,TUESDAY,,,,,,,,QUIZZO
COOK AND SHAKER,"RESTAURANT,BAR",,PORT RICHMOND,2301 E ALBERT ST,,PHILADELPHIA,PA,19125.0,"2301 E ALBERT ST, PHILADELPHIA, PA, 19125",39.9826346,-75.1205457,7:00 PM,WEDNESDAY,,,,,,,,QUIZZO
DAVE AND BUSTER'S,"BAR,ARCADE",,DELAWARE AVE,325 N CHRISTOPHER COLUMBUS BLVD,,PHILADELPHIA,PA,19106.0,"325 N CHRISTOPHER COLUMBUS BLVD, PHILADELPHIA, PA, 19106",39.9549841,-75.1394961,7:30 PM,TUESDAY,,,,,,,GEEKS WHO DRINK,QUIZZO
