Name,Address,SIPS_URL,Website,Latitude,Longitude,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS
1225 Raw Sushi and Sake Lounge,"1225 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#1225-raw-sushi-and-sake-lounge,https://1225rawnledas.com,39.94977844897959,-75.16082181632653,"Raw Crush - House Vodka, Triple Sec, Orange Juice, Sprite
Raw's Sunrise - Hornitos Tequilla, Pineapple Juice, Orange Juice, Grenadine
Rosey Sunset - House Gin, Lemon Juice, Raspberry Liquor, Cranberry Juice, Simple Syrup
Haku's Water - Coconut Rum, House Spiced Rum, Lime Juice, Pineapple Juice, Blue Curacao","House Red Cabernet
House White Pinot Grigio","Miller Lite
Heineken
Corona","Edamame $6, Shishito Peppers $7, Tortilla & Guac $6, Kimchi Fried Rice $7, Pork Belly Bao Bun $6 (1pc), Capital Roll $6, California Roll $6, Spicy Tuna Roll $6, Salmon Avocado Roll $6, Avocado Cucumber Roll $6"
13 Patio,"1201 Market St., Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#13-patio,http://philadelphiamarriottdowntown.ipoolside.com,39.952543000000006,-75.16060407927046,,,,
1518 Bar and Grill,"1518 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#1518-bar-and-grill,http://www.1518barandgrill.com,39.950239,-75.16664343502062,"Mexican Mule - 2oz Hornitos Tequila, 1oz lime juice, topped with ginger beer, served on the rocks","Pinot Grigio
Chardonnay
Merlot","Millerlite
Budweiser
Kenzinger
Coorse light","All $7:
Mac and Cheese
MeatBalls
Hummus
Chicken Tenders
Wings"
Air Grille at Dilworth Park,"1 S 15th St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#air-grill-garden-dilworth-park,http://dilworthpark.org/dining,39.9531741,-75.1646835,,,,
aMuse,"1421 Arch St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#amuse,http://amusephiladelphia.com,39.95493585,-75.16416239379754,,,,
ArtBar at Sonesta Hotel,"1800 Market St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#artbar-at-sonesta-hot,https://www.sonesta.com/sonesta-hotels-resorts/pa/philadelphia/sonesta-philadelphia-rittenhouse-square#hoteldetails_dining,39.9530129,-75.1701856,"Hornitos Paloma - Refreshing beverage with ""Hornitos Tequila"" combined with fresh ruby red grapefruit juice, simple syrup, club soda, garnished with a grapefruit wedge and rosemary sprig.

Hornitos Margarita - Classic margarita with ""Hornitos Tequila"", triple sec and lime juice, your choice of (sugar or salt), garnished with a lime.","Collier Creek (Cabernet Sauvignon)
Joel Gott (Sauvignon Blanc)","All Drafts (Michelob Ultra, Modelo Especial, Yards IPA, Samuel Adams Seasonal)","Small Plates - Classic Caesar Salad, Strawberry Cobb Salad, Mango Habanero Spiced Pretzels, Hummus Trio, Java-Spiced Loaded Tater Tots, Pimento Cheese Deviled Eggs, Grilled Chicken Wings, Angus Sliders, Shrimp PO'BOY, Charcuterie Board

Sweets- Sweet Bites for Two - Les Chouchous/Mango & Passion Fruit, Nutty Caramel Vanilla, Pistachio & Chocolate, Chocolate, Raspberry, Black Current & Vanilla
Stay here after SIPS and get 15% off dinner!"
Attico Rooftop,"219 S Broad Street, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#attico-rooftop,http://www.atticorooftop.com,39.94879404797663,-75.16456372497444,,,,
Bank and Bourbon,"1200 Market St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#bank-and-bourbon,http://bankandbourbon.com,39.9515897,-75.160309,,,,
Bar Bombon,"133 S 18th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#bar-bombon,http://barbombon.com,39.950618,-75.1704475,,,,
Bar Lesieur,"1523 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#bar-lesieur,https://www.barlesieur.com,39.950452346938775,-75.16619875510204,,,,
Bar-Ly Chinatown,"101 N. 11th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#bar-ly-chinatown,http://www.Bar-Ly.com,39.9541459,-75.1576212,"Hornitos Margarita
Lychee Lagon",Chardonnay & Cabernet,"Dog Fish 60 minute
Coors Light
Kona Big Wave",Cheese pizza & Cheesesteak Spring Rolls
Barbuzzo,"110 S 13th St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#barbuzzo,http://www.barbuzzo.com,39.9500257,-75.1620492,"Midtown Punch - Hornitos blanco, pomegranate, aperol, summer citrus","Pinot Grigio
Pinot Noir",Rotating local selection,"Mediterranean Olives
Whipped Ricotta
Roasted Beet Salad
Spring Pea Arancini"
Barra Rossa,"929 Walnut St, Philadelphia, PA 19107",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#barra-rossa,http://www.barrarossa.com,39.9485669,-75.157268,"Jefferson Lemonade  - Vodka, Lemon Juice, Blueberry Purée 
Strawberry Margarita  - Hornitos Tequila, Triple Sec, Lime Juice, Strawberry Purée 
Raspberry Lemon Drop - Vodka, Raspberry Liqueur, Lemon Juice, Simple Syrup 
Red or White Sangria","Pinot Grigio 
Chardonnay 
Merlot 
Pinot Noir",All bottled beer,"Calamari - Crispy Fried, Sliced Banana Peppers, Roasted Garlic Aioli, Spicy Marinara 
Bruschetta - Diced Tomatoes, Garlic, Basil, Extra Virgin Oil, Aged Balsamic, Toasted Crostini 
Spinach artichoke dip - Fresh Sautéed Spinach, Artichoke Hearts, Asiago, Parmigiano Reggiano, Mozzarella, Cream, Crostini 
Margherita pizza - Basil, Fresh Mozzarella, Marinara 
Special red pizza - Sausage, Meatballs, Pepperoni, Diced Tomato, Mozzarella, Marinara 
  Stay here after SIPS and get 15% off dinner!"
Barstool Sansom Street,"1213 Sansom St, Philadelphia, PA 19102",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#barstool-sansom-street,http://barstoolsansomstreet.com,39.9497592244898,-75.16066740816326,Hornitos and Flavored Redbulls,House Pinot Grigio,Victory Prima Pils,"Mozzarella sticks
Cheesesteak Egg Rolls
Fries"
The Black Sheep,"247 S 17th St, Philadelphia, PA 19103",https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#the-black-sheep,http://www.theblacksheeppub.com,39.94857066666667,-75.169281,,,,
