Bar,Drink,Predicted Item,Price,Sips Deal
Cavanaugh's Rittenhouse,Aperol Spritz,Aperol Spritz,$12.00,N
Cavanaugh's Rittenhouse,Dragonade,Dragonade,$8.00,N
Cavanaugh's Rittenhouse,Espresso Martini,Espresso Martini,$14.00,N
Cavanaugh's Rittenhouse,Jameson Orange Crushed,Orange Crush,$12.00,N
Cavanaugh's Rittenhouse,Mezcal-A-Rita,Mezcal-A-Rita,$13.00,N
Cavanaugh's Rittenhouse,Paloma,Paloma,$12.00,N
Cavanaugh's Rittenhouse,Philly Mule,Moscow Mule,$11.00,N
Cavanaugh's Rittenhouse,Pink Lady,Pink Lady,$12.00,N
Cavanaugh's Rittenhouse,Sidecar,Sidecar,$16.00,N
Cavanaugh's Rittenhouse,Tully Old Fashioned,Old Fashioned,$12.00,N
Cavanaugh's Rittenhouse,Cav's City Wide,City Wide,Price not available,N
Cavanaugh's Rittenhouse,Summertime City Wide,City Wide,$10.00,N
Cavanaugh's Rittenhouse,Any Given Sunday Bloody Mary,Bloody Mary,$12.00,N
Cavanaugh's Rittenhouse,Bottom's Up,Bottom's Up,$11.00,N
Cavanaugh's Rittenhouse,Tropical Tequila,Tequila Punch,$11.00,N
Cavanaugh's Rittenhouse,Passion Fruit Margarita,Margarita,$11.00,N
Cavanaugh's Rittenhouse,Anaperitivo Lemonade,Pineapple Lemonade,$11.00,N
Cavanaugh's Rittenhouse,Bud Light,Bud Light,$5.00,N
Cavanaugh's Rittenhouse,Blue Moon,Blue Moon,$6.50,N
Cavanaugh's Rittenhouse,Downeast Seasonal Cider,Downeast Cider,$7.50,N
Cavanaugh's Rittenhouse,Kona Big Wave,Kona Big Wave,$6.50,N
Cavanaugh's Rittenhouse,Modelo,Modelo,$6.50,N
Cavanaugh's Rittenhouse,New Belgium Voodoo Ranger,New Belgium Voodoo Ranger,$7.50,N
Cavanaugh's Rittenhouse,Sam Adams Summer Ale,Sam Adams,$7.00,N
Cavanaugh's Rittenhouse,Victory Brotherly Love,Victory Brotherly Love,$7.50,N
Cavanaugh's Rittenhouse,Yuengling Lager,Yuengling,$5.00,N
Cavanaugh's Rittenhouse,Guinness Non Alcoholic,Guinness Non Alcoholic,$7.00,N
Cavanaugh's Rittenhouse,Stella Liberte 0.0,Stella Liberte 0.0,$6.75,N
Cavanaugh's Rittenhouse,Two Roads N/A Juicy IPA,Two Roads N/A Juicy IPA,$6.50,N
Cavanaugh's Rittenhouse,Downeast Original Can,Kenwood Lager,$7.50,N
Cavanaugh's Rittenhouse,Magners Apple Cider,Magners Apple Cider,$7.00,N
Cavanaugh's Rittenhouse,Cape May White,Cape May White,$7.00,N
Cavanaugh's Rittenhouse,Dogfish Namaste,Dogfish Namaste,$6.50,N
