Name,Sips Url,Cocktails,Wine,Beer,Half-Priced Appetizers,RW Url,Details,Deals Offered,Deal Website,Open Table Link,Address,Latitude,Longitude,Website,Categories,Price,Review Count,Photo,Sips Participant,Restaurant Week Participant,Takes Reservations,Offers Delivery,Offers Takeout,Vegan Options,Many Vegetarian Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Accepts Cryptocurrency,Outdoor Seating,Trendy,Classy,Moderate Noise,Casual Dress,Offers Catering,Good for Dinner,Street Parking,Validated Parking,Free Wi-Fi,Happy Hour Specials,Full Bar,TV,Gender-neutral restrooms,Good For Kids,Bike Parking,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Casual,Good for Lunch,Dinner,Waiter Service,Best nights on Thursday,Best nights on Friday,Best nights on Saturday,Pool Table,Wi-Fi,Dogs Allowed,Wheelchair Accessible,Heated Outdoor Seating,Private Dining,Happy Hour,Smoking,Covered Outdoor Seating,Reservations,Quiet,Valet Parking,Good For Dancing,Good For Working,Dogs Not Allowed,Takeout,Delivery,Limited Vegetarian Options,Good for Brunch,Garage Parking,Loud,Late Night,Plastic-free packaging,Provides reusable tableware,Walk-ins Welcome,Intimate,Romantic,Upscale,Private Lot Parking,Smoking Outside Only,Offers Military Discount,Open to All,Pescatarian Options,Best nights on Wednesday,Dressy,Keto Options,Drive-Thru,Not Wheelchair Accessible,Good for Breakfast,Lunch,Beer and Wine Only,Best nights on Monday,Best nights on Tuesday,Good For Groups,Good for Late Night,Best nights on Sunday,Dessert,Live Music,Hipster,Alcohol,Women-owned,Yelp Rating,Restaurant Week Score,Popularity Score,Good for Groups,Compostable containers available,Brunch,Bring your own container allowed,Touristy,Latinx-owned,Asian-owned,Divey,Smoking Allowed,Vegetarian Options,Black-owned,DJ,Background Music,Soy-Free Options,Dairy-Free Options,Juke Box,EV charging station available,Gluten-Free Options,Karaoke,Good for Working,Virtual restaurant,Online ordering-only,LGBTQ-owned,All Ages,Very Loud,Paid Wi-Fi,Veteran-owned,By Appointment Only,Good for Dessert
Barbuzzo,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#barbuzzo,"Passionfruit Tequila Punch - hornitos blanco, passion fruit puree, grapefruit, bubbles","Chardonnay
Pinot Noir",Troegs Sunshine Pils,"Olives $3.5
Ricotta $7
Beet Salad $6.5
Arancini $6",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#barbuzzo,,$45 DINNER,https://centercityphila.org/uploads/attachments/clle1p8a8anenomqd0zww53ap-barbuzzo.pdf,https://www.opentable.com/restaurant/profile/47290/reserve?ref=9169,"110 S 13th St, Philadelphia, PA 19107",39.9500257,-75.1620492,http://www.barbuzzo.com,"['Mediterranean', 'Pizza', 'Italian']",$$,3193.0,https://centercityphila.org/uploads/attachments/ciu4h3b220013qgqdvncgy6z5-barbuzzo.178.0.1084.1084.full.jpg,Y,Y,True,True,True,True,,True,False,False,,True,True,,,True,False,True,True,,,True,True,True,True,True,True,['Avenue of the Arts South'],5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 11:00 PM,5:00 PM - 11:00 PM,11:00 AM - 3:00 PM,11:00 AM - 3:00 PM,,,,True,,,,,True,,,,,,,,,,,,,False,,,True,,True,True,,True,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,4.3,84.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dandelion,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#the-dandelion,"Participating in dinner only. Offering indoor and outdoor dining. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER,https://centercityphila.org/uploads/attachments/clly0wjgebctpomqdiu0zjop8-dandelion.pdf,https://www.opentable.com/restaurant/profile/54712/reserve?ref=9169,"124 S 18th St, Philadelphia, PA 19103",39.95101485,-75.17074136802594,http://thedandelionpub.com,"['Gastropubs', 'British']",$$,2822.0,https://centercityphila.org/uploads/attachments/civijwic0017sl7qd07gybwlo-thedandelion-rw-photo-by-j-fusco-for-visit-philadelphia-r.60.0.560.560.full.jpg,N,Y,True,True,True,True,,True,False,False,,True,,,True,,False,True,True,,,True,True,True,True,True,True,"['Rittenhouse Square', 'Penn Center']",11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 11:00 PM,11:30 AM - 12:00 AM (Next day),10:00 AM - 12:00 AM (Next day),10:00 AM - 10:00 PM,,,,True,,,,,True,,,,,,,,,,,,,False,,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,4.2,78.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Vez,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#el-vez,"Participating in dinner only. Offering indoor and outdoor dining. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER,https://centercityphila.org/uploads/attachments/clm81sgiubw75ypqd7pspe0of-elvez1.pdf,https://www.opentable.com/el-vez?ref=9169#reserve,"121 S. 13th St, Philadelphia, PA 19107",39.9497016,-75.161896,http://www.elvezrestaurant.com,"['Mexican', 'Breakfast & Brunch']",$$,3554.0,https://centercityphila.org/uploads/attachments/civfpqj5x00ubl7qdthyk2joy-elvez-rw-photo-by-m-edlow-for-visit-philadelphia-r.93.0.534.534.full.jpg,N,Y,True,True,True,True,,True,False,True,,True,True,,,,False,True,True,,,,True,True,,True,True,,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 10:00 PM,11:30 AM - 12:00 AM (Next day),11:30 AM - 12:00 AM (Next day),11:30 AM - 10:00 PM,,,,True,,,,,True,,,True,,True,,,,,,,,False,,,True,,,True,,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,,,4.0,78.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chubby Cattle,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#chubby-catt,"Participating in lunch, dinner, and takeout. Offering indoor dining. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/clm6l5gvubr4oomqdzbfysxia-chubbycattledinner.pdf,,"146 N 10th Street, Philadelphia, PA 19107",39.9548883,-75.1561251,,"['Chinese', 'Hot Pot', 'Asian Fusion']",$$,1481.0,https://centercityphila.org/uploads/attachments/cllnucnrfb03qsaqdyjkprfnb-cc-philly-web-imagery.249.0.1486.1486.full.png,N,Y,True,True,True,True,True,True,False,False,,True,True,,True,,False,,True,,,True,,True,True,True,True,['Chinatown'],12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,True,True,True,True,,,,,True,,True,,,,,,,,,,,False,,,,,,,True,,True,,True,,,,,,True,,,,,,,,,True,,,True,,,,,,,,4.5,75.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amada,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#amada,Participating in dinner only. Offering indoor dining.,$45 DINNER,https://centercityphila.org/uploads/attachments/clluwrm2pbalcjnqd3va3v0dl-amada.pdf,https://www.opentable.com/restaurant/profile/5129/reserve?ref=939,"217-219 Chestnut St, Philadelphia, PA 19106",39.9485657,-75.1448374,http://www.amadarestaurant.com,"['Tapas Bars', 'Spanish', 'Iberian']",$$,2259.0,https://centercityphila.org/uploads/attachments/civfo0umy00t6l7qd6w4pmbxn-amada-croquetas-de-jamon-amada.341.0.1365.1365.full.jpg,N,Y,True,True,True,True,True,True,,False,,True,True,,True,,True,True,True,,,True,True,True,,True,True,['Old City'],5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,11:30 AM - 3:00 PM,11:30 AM - 3:00 PM,,,,,,,,,True,,,,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,4.2,73.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampan,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#sampan7,"Prickly Pear Margarita
Hornitos Tequila, Prickly Pear
Ming Mule
Vodka, Mint, Lychee, Ginger",House Rose wine and Pinenapple wine,Featured draft,"Satay $6
-Korean BBQ Beef
-Short Rib, Kim Chee, Ginger
-Vietnamese Chicken
-Pickled Papaya, Nuo Cham
Buns & Wrap $7
-Pork Bao
-Pork Belly, Shallot, Mint
-Chili Crisp Chicken
-Pickled Cucumber, Dill, Chili
-Kobe Hot Dog (3)
-Smoked Mustard
-Kobe Slider (2)
-Swiss, Yakitori, Brioche

Small $7 Edamame Dumpling
-Truffle, Pea Shoot, Sake Broth
-Mushroom Shu-Mai
-Shiitake, Jasmine Rice, Soy
-Pork Potsticker
-Soy, Sesame, Scallion
-Kung Pao Chicken Wing
-Mint, Basil, Peanut

Sides $6
-Crispy Brussel Sprout
-Puffed Rice, Fish Sauce, Chili
-Roasted Broccoli
-Pine Nut, White Soy, Garlic
-Kim Chee Fried Rice
-Shrimp, Shallot, Poached Egg",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#sampan7,"Participating in dinner only. Offering indoor and outdoor dining. Not participating on Saturday, September 16 and Saturday, September 23.",Coming soon,,,"124 S 13th St, Philadelphia, PA 19107",39.9495191,-75.1622021,http://www.sampanphilly.com,"['Asian Fusion', 'Chinese']",$$,2212.0,https://centercityphila.org/uploads/attachments/civiimo6s016fmpqdw3tay7l6-sampan-rw-photo-by-e-mencher-for-visit-philadelphia-r.39.0.603.603.full.jpg,Y,Y,True,,True,True,,True,False,False,False,True,True,,True,,True,True,True,,,True,True,True,True,True,True,['Avenue of the Arts South'],4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 10:00 PM,,,,True,,,,,True,,True,True,True,,,True,,,,,,False,,True,True,,,,,,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,4.1,70.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gran Caffe L'Aquila,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#gran-caffe-l-aquila,"Margarita Calabrese
Hornitos Tequila, Caffo Orange Liqueur, Lemon, Limoncello Kiss.
Hugo: The cocktail of Italian summer Prosecco, Fresh Mint, Elderflower
Aperol Spritz: The official Aperitivo of Italy! Prosecco, Aperol & a spritz of club soda","Vino Bianco: Falanghina sannino, fontanavecchia, historic white featuring wild flower aroma, & a dry, crisp finish
Vino Rosso: Veneto rosso, bardolino classico (Veneto), medium plus body featuring notes of spice, & black currant",Peroni (Lombardia) 5.10% the original Italian lager. a high quality malt and hop lager,"Bruschetta: One bruschetta with roasted pepper caponata $3.5 with fresh mozzarella $4.9
Truffled Parmigiano Fries: Fries topped with parmigiano cheese and shaved truffle $5.9
Arancini: Sicilian rice ball, meat ragu, peas, fresh mozzarella, tomato sauce $5.9
Melanzana Parmigiana: Italian eggplant, fresh ricotta, fior di latte mozzarella, tomato sauce $6.9
Carciofi Fritti: Flash fried
Artichokes Served With Fresh Squeezed Lemon $6.5
Cozze: Fresh mussels, garlic, tomato, & peperoncini $8.9
Fritto Misto: semolina crusted calamari, shrimp, zucchini $8.9",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#gran-caffe-l-aquila,"Participating in lunch, dinner and takeout. Offering indoor and outdoor dining.",$45 DINNER | $20 LUNCH,https://centercityphila.org/uploads/attachments/cll2oykrma89gm8qdmv3eaxru-grancaffe.pdf,https://www.opentable.com/restaurant/profile/1177819/reserve?ref=9169,"1716 Chestnut St, Philadelphia, PA 19103",39.95118775,-75.16953315949416,http://grancaffelaquila.com,"['Coffee & Tea', 'Italian', 'Gelato']",$$,1399.0,https://centercityphila.org/uploads/attachments/ckea7wbce2uhykxqd95mjcpxy-d8b02824-5f8f-4d3c-8aa3-1947ecc645ff.289.0.729.729.full.jpg,Y,Y,True,True,True,True,,True,,True,,True,,True,True,True,True,,True,,,True,True,True,True,True,True,"['Penn Center', 'Rittenhouse Square']",7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 10:00 PM,True,True,True,True,,,,,True,,True,True,True,,,True,,,,,True,False,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,4.3,69.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chez Hansi,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#chez-hansi,Participating in dinner. Offering indoor dining and BYOB.,$45 DINNER,https://centercityphila.org/uploads/attachments/clluwuwaab8disaqdu1fy759a-chezhansi.pdf,https://www.opentable.com/restaurant/profile/1262203/reserve?ref=9169,"1610 South St, Philadelphia, PA 19146",39.9439603,-75.16920174644446,,"['Modern European', 'Desserts', 'American (New)']",,23.0,https://centercityphila.org/uploads/attachments/clmeit9z8cgumhnqdj77kie99-chezhansi.0.169.1536.1536.full.jpg,N,Y,,True,True,,,True,,,,True,,,,,True,,,,True,,,True,,,True,['Rittenhouse Square'],Closed,Closed,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,10:00 AM - 2:00 PM,10:00 AM - 2:00 PM,,,,True,,,,,,,,True,True,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,True,False,,,,,,,,,,,,True,,4.7,69.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Knot,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#doubleknot,"Sheet Bend: Hornitos Tequila, amarena, lime
Barrel Hitch: bourbon, blackberry, lemon","House red wine
House white wine
House rose",Montucky Cold Snacks Lage,"ROLLS/ HANDROLL (served with soy + wasabi)
-Salmon avocado
-Shrimp tempura*
-Cucumber avocado
-Spicy tuna
ROBATAYAKI
-Chicken thigh
-Short rib*
-Maitake mushroom*
WRAPS & MORE
-Pork bao*: Pork Belly, Shallot, Mint
-Chili crisp chicken bao*: pickled cucumber, cill, chili
-Kobe slider*: swiss, soy, brioche
-Kobe hot dog*: smoked mustard
-Albacore tataki: onion ponzu, scallion, radish
CRISPY
-Crisy spring roll*: chicken, shrimp, cabbage
-Kung pao chicken wing*: mint, basil, peanut
-Crab rangoon*: caramelized onion, sweet + sour
DUMPLINGS
-Edamame dumpling*: truffle, pea shoot, sake broth
-Pork potsticker*: soy, sesame, scallion
SIDES
-Crispy brussels sprout: puffed rice, fish sauce, chili
-Roasted broccoli: pine nut, white soy, garlic
-Kim chee fried rice: shrimp, shallot, poached egg
-Mushroom lo mein*: soy, sesame oil, cucumber",https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#doubleknot,"Participating in dinner only. Offering indoor dining. Not participating on Saturday, September 16 and Saturday, September 23.",$45 DINNER,https://centercityphila.org/uploads/attachments/clm9926hkbxy7wnqdgiorugh2-doubleknot.pdf,,"120 S 13th St., Philadelphia, PA 19107",39.949601540816325,-75.16189252040817,https://www.doubleknotphilly.com,"['Sushi Bars', 'Bars', 'Japanese']",$$$,1340.0,https://centercityphila.org/uploads/attachments/cl4r5g8k2025mtvqdw59b7qgf-double-knot.0.2190.5213.5213.full.jpg,Y,Y,True,,True,True,True,True,False,False,False,True,True,,True,True,True,True,True,,,True,True,True,True,True,True,['Avenue of the Arts South'],4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM (Next day),4:00 PM - 12:00 AM (Next day),4:00 PM - 10:00 PM,,,,True,True,,True,True,True,,True,True,True,,True,True,,,,True,,False,,True,,,,,,,True,,,,,,,,,True,True,,,,,,,,,,True,,,,,,,,4.3,88.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koto Sushi,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#koto-sushi,"Participating in lunch, dinner and takeout. Offering indoor seating",$45 DINNER AND $20 LUNCH,https://centercityphila.org/uploads/attachments/clkr0pg5p9tdbm8qdtdpssky8-koto.pdf,https://www.opentable.com/restaurant/profile/995407/reserve?ref=9169,"719 Sansom St, Philadelphia, PA 19106",39.9488864,-75.1532407,http://www.kotosushipa.com,"['Japanese', 'Sushi Bars']",$$,309.0,https://centercityphila.org/uploads/attachments/cl769xlu32ardtvqd8f1xm3pa-koto-sushi.197.68.829.829.full.jpg,N,Y,True,True,True,True,True,True,,,,True,,,True,True,True,,True,,,,,True,,True,True,['Jewelers&#x27; Row'],11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:30 PM,3:30 PM - 9:30 PM,3:30 PM - 9:00 PM,True,True,True,True,,,,,True,,,True,,True,,True,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,4.6,68.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
