Name,Yelp Alias
1225 Raw Sushi and Sake Lounge,1225raw-sushi-and-sake-lounge-philadelphia-2
1518 Bar and Grill,1518-bar-and-grill-philadelphia
Air Grille Garden at Dilworth Park,dilworth-park-philadelphia-9
Ancient Spirits & Grille,ancient-spirits-and-grille-philadelphia
ArtBar at Sonesta Hotel,artbar-philadelphia
The Balcony Bar at the Kimmel Center,balcony-bar-the-kimmel-center-philadelphia
Bank and Bourbon,bank-and-bourbon-philadelphia
Bar-Ly Chinatown,bar-ly-chinatown-philadelphia-3
Barbuzzo,barbuzzo-philadelphia
Barstool Sansom Street,barstool-sansom-street-philadelphia
The Black Sheep,the-black-sheep-pub-and-restaurant-philadelphia
Bodega Taco Bar,bodega-bar-philadelphia
Brü Craft & Wurst,brü-craft-and-wurst-philadelphia
Buca D'oro Ristorante,ristorante-la-buca-philadelphia
Butcher Bar,butcher-bar-philadelphia-2
Capriccio Café and Bar,capriccio-cafe-and-bar-philadelphia-2
The Cauldron Philly,the-cauldron-philadelphia-2
Cavanaugh's Rittenhouse,cavanaughs-rittenhouse-philadelphia-2
City Tap House Logan Square,public-house-at-logan-square-philadelphia
Con Murphy's Irish Pub,con-murphys-philadelphia-4
Continental Midtown,the-continental-mid-town-philadelphia
Craftsman Row Saloon,craftsman-row-saloon-philadelphia
Darling Jack's Tavern,darling-jacks-tavern-philadelphia
Devil's Alley,devils-alley-bar-and-grille-philadelphia
Dim Sum House by Jane G's,dim-sum-house-philadelphia-3
Dolce Italian,dolce-italian-philadelphia-philadelphia
Double Knot,double-knot-philadelphia
Drinker's Pub,drinkers-pub-philadelphia
Drury Beer Garden (DBG),drury-beer-garden-philadelphia
Fado Irish Pub,fado-irish-pub-philadelphia-9
Fahrenheit 451 Pizza and Bar,fahrenheit-451-bar-and-pizzeria-philadelphia
Finn McCools Ale House,finn-mccools-ale-house-philadelphia
Flambo Caribbean Restaurant,flambo-caribbean-restaurant-philadelphia-3
Giovani's Bar & Grill,giovanis-bar-and-grill-philadelphia
Giuseppe and Sons,giuseppe-and-sons-philadelphia-2
The Goat Rittenhouse,the-goat-rittenhouse-philadelphia
Gran Caffe L'Aquila,gran-caffe-l-aquila-philadelphia
Hard Rock Cafe,hard-rock-cafe-philadelphia-5
Harp & Crown,harp-and-crown-philadelphia
The Hayes,the-hayes-philadelphia
Independence Beer Garden,independence-beer-garden-philadelphia-2
Iron Hill Brewery & Restaurant,iron-hill-brewery-and-restaurant-philadelphia-2
Kook Burger & Bar,kook-burger-and-bar-philadelphia
Ladder 15,ladder-15-philadelphia
Leda and the Swan Cocktail Lounge,leda-and-the-swan-philadelphia
Little Nonna's,little-nonnas-philadelphia
Marathon 16th & Sansom,marathon-grill-philadelphia-11
Misconduct Tavern,misconduct-tavern-philadelphia-3
The Mulberry on Arch,the-mulberry-philadelphia
Pagano's Market and Bar,paganos-market-and-bar-philadelphia-2
Patchwork,patchwork-philadelphia
Thirteen Restaurant,13-restaurant-philadelphia-2
Pearl & Mary,pearl-and-mary-oyster-bar-philadelphia
Prunella,prunella-philadelphia
Sampan,sampan-philadelphia-3
Sueno,sueno-philadelphia
Thanal Indian Tavern,thanal-indian-tavern-philadelphia-2
Time Restaurant,time-philadelphia
Tir Na Nog Irish Bar & Grill,tir-na-nog-philadelphia-4
Top Tomato Bar & Pizza,top-tomato-bar-and-pizza-philadelphia
Tradesman's,tradesmans-philadelphia
Uptown Beer Garden,uptown-beer-garden-philadelphia-3
Veda - Modern Indian Bistro,veda-modern-indian-bistro-philadelphia-3
Via Locusta,via-locusta-philadelphia
Vintage Wine Bar & Bistro,vintage-wine-bar-philadelphia
Walnut Garden - Temporarily Closed,walnut-garden-philadelphia
The Wayward,the-wayward-philadelphia
Wicked Wolf,wicked-wolf-philadelphia-philadelphia
Wrap Shack,wrap-shack-philadelphia-2
Aki Nom Nom,aki-nom-nom-sushi-and-ramen-philadelphia-3
Alice Pizza,alice-pizza-philadelphia-7
Amada,amada-philadelphia
Amina,amina-philadelphia-2
Bahn Mi and Bottles,banh-mi-and-bottles-philadelphia
Bellini,bellini-philadelphia
Bistro La Baia,bistro-la-baia-philadelphia-5
Bistro Romano,bistro-romano-philadelphia
Bistrot La Minette,bistrot-la-minette-philadelphia-2
Bleu Sushi,bleu-sushi-philadelphia-5
Blume Food & Cocktail,blume-philadelphia-2
Bolo,bolo-philadelphia
Brauhaus Schmitz,brauhaus-schmitz-philadelphia
Bridget Foy's,bridget-foys-philadelphia
Buddakan,buddakan-philadelphia
Caribou Café,caribou-cafe-philadelphia
Chart House,chart-house-philadelphia
Chez Colette,chez-colette-philadelphia
Chez Hansi,chez-hansi-philadelphia
Chubby Cattle,chubby-cattle-philadelphia-5
City Winery,city-winery-philadelphia-philadelphia
Cuba Libre Restaurant & Rum Bar,cuba-libre-restaurant-and-rum-bar-philadelphia-philadelphia
D'Angelo's Ristorante Italiano & Lounge,d-angelos-ristorante-italiano-philadelphia
The Dandelion,the-dandelion-philadelphia
Del Frisco's Double Eagle Steakhouse,del-friscos-double-eagle-steakhouse-philadelphia
Del Frisco's Grille,del-friscos-grille-philadelphia
Devon Seafood Grill,devon-seafood-grill-philadelphia-3
El Vez,el-vez-philadelphia
Entrée BYOB,entree-byob-philadelphia
Estia Restaurant,estia-philadelphia
Fork,fork-philadelphia
Forsythia,forsythia-philadelphia
Franklin Social Kitchen & Bar,franklin-social-kitchen-and-bar-philadelphia
Fringe Bar,fringe-bar-philadelphia
Garden Grille and Bar,tenth-floor-grill-philadelphia
Harper's Garden,harpers-garden-philadelphia
Jasmine Rice Rittenhouse,jasmine-rice-rittenhouse-philadelphia-3
Jomon Japanese BBQ,jomon-japanese-bbq-philadelphia
Knock Restaurant & Bar,knock-philadelphia
Koto Sushi,koto-sushi-philadelphia
La Famiglia Ristorante,la-famiglia-ristorante-philadelphia
La Fontana Della Citta,la-fontana-della-citta-philadelphia
La Nonna,la-nonna-philadelphia
La Viola Bistro,la-viola-philadelphia
La Viola Ovest,la-viola-ovest-philadelphia
Lacroix,lacroix-at-the-rittenhouse-philadelphia-2
LaScala's Fire,lascalas-fire-philadelphia
Libertine,libertine-restauraunt-philadelphia
Malbec Argentine Steakhouse,malbec-argentine-steakhouse-philadelphia
McCormick & Schmick's,mccormick-and-schmicks-seafood-and-steaks-philadelphia
Melograno BYOB,melograno-philadelphia
Mercato  BYOB,mercato-byob-philadelphia
Monster Vegan,monster-vegan-philadelphia
Morea,morea-philadelphia
The Morris,the-morris-restaurant-philadelphia
Moshulu,moshulu-philadelphia-4
Ocean Prime,ocean-prime-philadelphia
Oloroso Tapas and Sherry Bar,oloroso-philadelphia
Osteria,osteria-philadelphia-2
Osteria Ama Philly,osteria-ama-philadelphia-2
Oyster House,oyster-house-philadelphia
Panorama,panorama-philadelphia-2
Picanha Brazilian Steakhouse,picanha-brazilian-steakhouse-philadelphia
Porcini,porcini-philadelphia
Pumpkin BYOB,pumpkin-philadelphia-2
Restaurant Aleksandar,restaurant-aleksandar-philadelphia
Rex at The Royal,rex-at-the-royal-philadelphia-2
Scarpetta Philadelphia,scarpetta-philadelphia-philadelphia
Talula's Garden,talulas-garden-philadelphia
Zahav,zahav-philadelphia
Suraya,suraya-philadelphia-2
Vernick Food & Drink,vernick-food-and-drink-philadelphia
The Love,the-love-philadelphia-2
SOUTH Restaurant & Jazz Club,south-philadelphia
Parc,parc-philadelphia-2
Butcher and Singer,butcher-and-singer-philadelphia
Barcelona Wine Bar Passyunk,barcelona-wine-bar-passyunk-philadelphia
Wilder,wilder-philadelphia-2
Laser Wolf,laser-wolf-philadelphia-2
Wm Mulherin's Sons,wm-mulherins-sons-philadelphia
Bud & Marilyn's,bud-and-marilyns-philadelphia
Terakawa Ramen,terakawa-ramen-philadelphia
Reading Terminal Market,reading-terminal-market-philadelphia
Morimoto,morimoto-philadelphia
Pizzeria Beddia,pizzeria-beddia-philadelphia
Bar Hygge,bar-hygge-philadelphia
Vedge,vedge-philadelphia
Charlie Was a Sinner,charlie-was-a-sinner-philadelphia
Glory Beer Bar & Kitchen,glory-beer-bar-and-kitchen-philadelphia-3
Spice Finch,spice-finch-philadelphia-2
Barclay Prime,barclay-prime-philadelphia
Vetri Cucina,vetri-cucina-philadelphia
The Victor Cafe,the-victor-cafe-philadelphia
Steak 48,steak-48-philadelphia-3
Sweet Lucy's Smokehouse,sweet-lucys-smokehouse-philadelphia
Nan Zhou Hand Drawn Noodle House,nan-zhou-hand-drawn-noodle-house-philadelphia
Blue Corn,blue-corn-philadelphia
Middle Child Clubhouse,middle-child-clubhouse-philadelphia
Dim Sum Garden,dim-sum-garden-philadelphia
Urban Farmer Philadelphia,urban-farmer-philadelphia-philadelphia-2
Friday Saturday Sunday,friday-saturday-sunday-philadelphia-4
Dan Dan,dan-dan-philadelphia-6
Alpen Rose,alpen-rose-philadelphia
Cleavers,cleavers-philadelphia
Village Whiskey,village-whiskey-philadelphia
JG SkyHigh,jg-skyhigh-philadelphia
Mission Taqueria,mission-taqueria-philadelphia
QU JAPAN BISTRO & BAR,qu-japan-bistro-and-bar-philadelphia
Bar Bombón,bar-bombón-philadelphia-4
Vernick Fish,vernick-fish-philadelphia-3
Tria Cafe Wash West,tria-cafe-wash-west-philadelphia-2
JJ Thai Cuisine,jj-thai-cuisine-philadelphia-4
Rosy's Taco Bar,rosys-taco-bar-philadelphia
Trattoria Carina,trattoria-carina-philadelphia-2
Monk's Cafe,monks-cafe-philadelphia-4
City Tap House,city-tap-house-philadelphia-6
K'Far Cafe,kfar-cafe-philadelphia
Southgate,southgate-philadelphia
Jean-Georges Philadelphia,jean-georges-philadelphia-philadelphia-2
Tequilas Restaurant,tequilas-restaurant-philadelphia-3
High Street Philadelphia,high-street-philadelphia-philadelphia
EMei,emei-philadelphia
Fat Salmon,fat-salmon-philadelphia
Molly Malloy's,molly-malloys-philadelphia
