"BUSINESS","BUSINESS_TAGS","TIME","WEEKDAY","OCCURRENCE_TYPES","NEIGHBORHOOD","ADDRESS_STREET","ADDRESS_UNIT","ADDRESS_CITY","ADDRESS_STATE","ADDRESS_ZIP","PRIZE_1_TYPE","PRIZE_1_AMOUNT","PRIZE_2_TYPE","PRIZE_2_AMOUNT","PRIZE_3_TYPE","PRIZE_3_AMOUNT","HOST","EVENT_TYPE","Full_Address","Latitude","Longitude"
"Triple Bottom Brewing","Brewery,restaurant","6:00 PM","WEDNESDAY","FIRST_OF_MONTH,THIRD_OF_MONTH","Spring Arts","915 Spring Garden St","","Philadelphia","PA","19123","",,"",,"",,"","QUIZZO","915 SPRING GARDEN ST, PHILADELPHIA, PA, 19123",39.9621393,-75.1533935
"Tonelli's","Pizzeria,bar","7:00 PM","TUESDAY","","","278 Easton Rd","","Horsham","PA","19044","",,"",,"",,"","QUIZZO","278 EASTON RD, HORSHAM, PA, 19044",40.1770278,-75.128112
"Jerry's Bar","Restaurant,bar","7:00 PM","TUESDAY","","Northern Liberties","129 W Laurel St","","Philadelphia","PA","19123","Gift Card",50,"",,"",,"Thephillyquizzo","QUIZZO","129 W LAUREL ST, PHILADELPHIA, PA, 19123",39.9651497,-75.1388845
"Mifflin Tavern","Restaurant,bar","7:00 PM","THURSDAY","","Pennsport","1843 S 2nd St","","Philadelphia","PA","19148","",,"",,"",,"","QUIZZO","1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531
"Jose Pistolas","Restaurant,bar","6:30 PM","MONDAY","","Center City","263 S 15th St","","Philadelphia","PA","19102","",,"",,"",,"","QUIZZO","263 S 15TH ST, PHILADELPHIA, PA, 19102",39.9479465,-75.1664047
"The Victoria Freehouse","Restaurant,bar,british Pub","8:00 PM","WEDNESDAY","","Old City","10 S Front St","","Philadelphia","PA","19106","",,"",,"",,"","QUIZZO","10 S FRONT ST, PHILADELPHIA, PA, 19106",39.9493252,-75.1423614
"Mechanical Brewery","Brewery","6:30 PM","THURSDAY","","","5 Perina Blvd Suite","800","Cherry Hill","NJ","8003","",,"",,"",,"","QUIZZO","5 PERINA BLVD SUITE, 800, CHERRY HILL, NJ, 8003",39.90107159488436,-74.98447087425866
"Stogie Joe's Tavern","Restaurant,bar","7:00 PM","MONDAY","","Newbold","1721 S Chadwick St","","Philadelphia","PA","19145","Cash",100,"Gift Card",50,"Gift Card",25,"","QUIZZO","1721 S CHADWICK ST, PHILADELPHIA, PA, 19145",39.9293336,-75.1729067
"Gaul & Co. Rockledge","Restaurant,bar","8:00 PM","TUESDAY","","","704 Huntingdon Pike","","Rockledge","PA","19046","",,"",,"",,"","QUIZZO","704 HUNTINGDON PIKE, ROCKLEDGE, PA, 19046",40.0843803,-75.0931624
"The Thirsty Dice","Restaurant,bar,board Games","6:30 PM","WEDNESDAY","","Fairmount","1642 Fairmount Ave","","Philadelphia","PA","19130","",,"",,"",,"","QUIZZO","1642 FAIRMOUNT AVE, PHILADELPHIA, PA, 19130",39.9669247,-75.1652857
