BUSINESS,BUSINESS_TAGS,TIME,WEEKDAY,OCCURRENCE_TYPES,NEIGHBORHOOD,ADDRESS_STREET,ADDRESS_UNIT,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_ZIP,PRIZE_1_TYPE,PRIZE_1_AMOUNT,PRIZE_2_TYPE,PRIZE_2_AMOUNT,PRIZE_3_TYPE,PRIZE_3_AMOUNT,HOST,EVENT_TYPE,Full Address,Latitude,Longitude
12 STEPS DOWN,BAR,8:00 PM,WEDNESDAY,,BELLA VISTA,831 CHRISTIAN ST,,PHILADELPHIA,PA,19147,GIFT_CARD,30,GIFT_CARD,15,,,HTOTHEQUIZZO,MUSIC_QUIZZO,"831 CHRISTIAN ST, PHILADELPHIA, PA, 19147",39.9390528,-75.1576839
DAVE AND BUSTER'S,"BAR,ARCADE",7:30 PM,TUESDAY,,DELAWARE AVE,325 N CHRISTOPHER COLUMBUS BLVD,,PHILADELPHIA,PA,19106,,,,,,,GEEKS WHO DRINK,QUIZZO,"325 N CHRISTOPHER COLUMBUS BLVD, PHILADELPHIA, PA, 19106",39.9549841,-75.1394961
TOP GOLF,"BAR,GOLF",6:30 PM,THURSDAY,,NORTHEAST PHILADELPHIA,2140 BYBERRY RD,,PHILADELPHIA,PA,19116,,,,,,,GEEKS WHO DRINK,QUIZZO,"2140 BYBERRY RD, PHILADELPHIA, PA, 19116",40.1066239,-75031664
NORTH PENN SOCIAL CLUB,"BAR,SOCIAL_CLUB",7:30 PM,TUESDAY,,,141 S MAIN ST,,NORTH WALES,PA,19454,,,,,,,THE QUIZZO GUYS,QUIZZO,"141 S MAIN ST, NORTH WALES, PA, 19454",40.2105502,-75.2768306
EVIL GENIUS BEER COMPANY,BREWERY,7:30 PM,WEDNESDAY,,FISHTOWN,1727 N FRONT ST,,PHILADELPHIA,PA,19122,,,,,,,LUNCH MONEY QUIZZO,QUIZZO,"1727 N FRONT ST, PHILADELPHIA, PA, 19122",39.9757484,-75.1338733
NESHAMINY BREWING,BREWERY,7:05 PM,THURSDAY,THIRD_OF_MONTH,,909 RAY AVE,,CROYDON,PA,19021,,,,,,,LUNCH MONEY QUIZZO,QUIZZO,"909 RAY AVE, CROYDON, PA, 19021",40853767,-74.9022245
NESHAMINY CREEK BREWING DUBLIN,BREWERY,7:00 PM,TUESDAY,FIRST_OF_MONTH,,139 N MAIN ST,UNIT 1,DUBLIN,PA,18917,,,,,,,LUNCH MONEY QUIZZO,QUIZZO,"139 N MAIN ST, UNIT 1, DUBLIN, PA, 18917",40.368863,-75.2816328
FAT LADY BREWING,BREWERY,7:00 PM,WEDNESDAY,,MANAYUNK,4323 MAIN ST,,PHILADELPHIA,PA,19127,CASH,25,CASH,15,CASH,10,QUIZZOMAN,QUIZZO,"4323 MAIN ST, PHILADELPHIA, PA, 19127",40253364,-75.2227355
BROKEN GOBLET BREWING,BREWERY,800 PM,WEDNESDAY,,,2500 STATE ROAD,,ANDALUSIA,PA,19120,,,,,,,RIGHTEOUS JOLLY,QUIZZO,"2500 STATE ROAD, ANDALUSIA, PA, 19120",40634142,-74.9666794
PUNCH BUGGY BREWING COMPANY,BREWERY,7:30 PM,WEDNESDAY,,FISHTOWN,1445 N AMERICAN ST,,PHILADELPHIA,PA,19122,,,,,,,SEAN MAGUIRE,QUIZZO,"1445 N AMERICAN ST, PHILADELPHIA, PA, 19122",39.9736573,-75.1397376
CARTESIAN BREWING,BREWERY,7:00 PM,THURSDAY,,SOUTH PHILADELPHIA,326 E PASSYUNK AVE,,PHILADELPHIA,PA,19147,,,,,,,TRIVIA MONTY,QUIZZO,"326 E PASSYUNK AVE, PHILADELPHIA, PA, 19147",39.9369904,-75.1547917
AXE AND ARROW BREWING,BREWERY,7:00 PM,WEDNESDAY,,,105 HIGH ST W,,GLASSBORO,NJ,8028,,,,,,,TRIVIAME,QUIZZO,"105 HIGH ST W, GLASSBORO, NJ, 8028",39.70329166136547,-75.11307467715054
BALD BIRDS BREWING,BREWERY,7:00 PM,WEDNESDAY,,,970 RITTENHOUSE RD,#400,AUDUBON,PA,19403,,,,,,,,QUIZZO,"970 RITTENHOUSE RD, #400, AUDUBON, PA, 19403",40.1266302,-75.4165027
LOVE CITY BREWING,"BREWERY,FOOD_TRUCKS",7:00 PM,WEDNESDAY,FIRST_OF_MONTH,CALLOWHILL,1023 HAMILTON ST,,PHILADELPHIA,PA,19123,,,,,,,DJ QUIZZO,QUIZZO,"1023 HAMILTON ST, PHILADELPHIA, PA, 19123",39.9602868,-75.1552483
WISSAHICKON BREWING COMPANY,"BREWERY,FOOD_TRUCKS",7:30 PM,THURSDAY,,EAST FALLS,3705 W SCHOOL HOUSE LN,,PHILADELPHIA,PA,19129,,,,,,,SEAN MAGUIRE,QUIZZO,"3705 W SCHOOL HOUSE LN, PHILADELPHIA, PA, 19129",40136778,-75.2004463
TWISTED GINGERS,"BREWERY,RESTAURANT",7:30 PM,THURSDAY,,MANAYUNK,4317 FLEMING ST,,PHILADELPHIA,PA,19128,,,,,,,BREWTENANT DAN,QUIZZO,"4317 FLEMING ST, PHILADELPHIA, PA, 19128",40275252,-75.2185435
OTHER HALF,"BREWERY,RESTAURANT",6:00 PM,WEDNESDAY,,FISHTOWN,1002 CANAL ST,,PHILADELPHIA,PA,19123,,,,,,,,QUIZZO,"1002 CANAL ST, PHILADELPHIA, PA, 19123",39.9648491,-75.1350634
CHESTNUT HILL BREWING COMPANY,"BREWERY,RESTAURANT",6:00 PM,WEDNESDAY,,CHESTNUT HILL,8231 GERMANTOWN AVE,,PHILADELPHIA,PA,19118,GROWLER,1,,,,,,QUIZZO,"8231 GERMANTOWN AVE, PHILADELPHIA, PA, 19118",4073592,-75.2028298
VICTORY BREWING COMPANY,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,CENTER CITY,1776 BEN FRANKLIN PARKWAY,,PHILADELPHIA,PA,19103,GIFT_CARD,50,GIFT_CARD,25,BEER_SIX_PACK,1,,QUIZZO,"1776 BEN FRANKLIN PARKWAY, PHILADELPHIA, PA, 19103",39.956268903173374,-75.16873898393631
ANIMATED BREWING,"BREWERY,RESTAURANT",7:30 PM,THURSDAY,,,255 MT AIRY RD,,COATESVILLE,PA,19320,,,,,,,,QUIZZO,"255 MT AIRY RD, COATESVILLE, PA, 19320",39.9927805,-75.8305739
EAST BRANCH BREWING CO,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,202 E LANCASTER AVE,,DOWNINGTOWN,PA,19335,GIFT_CARD,30,,,,,,QUIZZO,"202 E LANCASTER AVE, DOWNINGTOWN, PA, 19335",40067258,-75.700761
HUMAN ROBOT JENKINTOWN,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,208 YORK RD,,JENKINTOWN,PA,19046,,,,,,,,QUIZZO,"208 YORK RD, JENKINTOWN, PA, 19046",40946043,-75.12524
STICKMAN BREWS,"BREWERY,RESTAURANT",7:00 PM,WEDNESDAY,,,326 N LEWIS RD,#240,ROYERSFORD,PA,19468,,,,,,,,QUIZZO,"326 N LEWIS RD, #240, ROYERSFORD, PA, 19468",40.1958049,-75.5340481
STOLEN SUN BREWING AND ROASTING,"BREWERY,ROASTERY",7:00 PM,THURSDAY,,,342 N POTTSTOWN PIKE,SUITE B,EXTON,PA,19341,,,,,,,SHAMUS HALLORAN,QUIZZO,"342 N POTTSTOWN PIKE, SUITE B, EXTON, PA, 19341",40541068,-75.6405673
SHADY BROOK FARM,FARMERS_MARKET,6:30 PM,WEDNESDAY,,,931 STONY HILL RD,,YARDLEY,PA,19067,,,,,,,EMILY AND JOE,QUIZZO,"931 STONY HILL RD, YARDLEY, PA, 19067",40.2272354,-74.8862943
SANTUCCI'S,PIZZERIA,7:00 PM,WEDNESDAY,,WEST POPLAR,655 N BROAD ST,,PHILADELPHIA,PA,19123,,,,,,,SJK,QUIZZO,"655 N BROAD ST, PHILADELPHIA, PA, 19123",39.965878,-75.160545
RAMS PIZZA,PIZZERIA,7:00 PM,WEDNESDAY,,,25 E BROADWAY AVE,,CLIFTON HEIGHTS,PA,19018,,,,,,,,QUIZZO,"25 E BROADWAY AVE, CLIFTON HEIGHTS, PA, 19018",39.9284343,-75.2940756
PAPPOUS PIZZA PUB,"PIZZERIA,BAR",8:00 PM,TUESDAY,,,415 BALTIMORE PIKE,,MORTON,PA,19070,,,,,,,,QUIZZO,"415 BALTIMORE PIKE, MORTON, PA, 19070",39.9177693,-75.3956985
NICK'S ROAST BEEF WOODHAVEN,RESTAURANT,7:00 PM,TUESDAY,,PARKWOOD,4501 WOODHAVEN RD,,PHILADELPHIA,PA,19154,,,,,,,,QUIZZO,"4501 WOODHAVEN RD, PHILADELPHIA, PA, 19154",40964963,-74.9833713
NICK'S ROAST BEEF COTTMAN,RESTAURANT,8:00 PM,THURSDAY,,NORTHEAST PHILADELPHIA,2210 COTTMAN AVE,,PHILADELPHIA,PA,19149,,,,,,,,QUIZZO,"2210 COTTMAN AVE, PHILADELPHIA, PA, 19149",40488597,-75620491
OLD ORIGINAL NICK'S ROAST BEEF,RESTAURANT,8:00 PM,WEDNESDAY,,WEST PASSYUNK,2149 S 20TH ST,,PHILADELPHIA,PA,19145,,,,,,,,QUIZZO,"2149 S 20TH ST, PHILADELPHIA, PA, 19145",39.9244591,-75.1792806
SIDE CAR BAR,"RESTAURANT,BAR",8:00 PM,TUESDAY,,GRADUATE HOSPITAL,2201 CHRISTIAN ST,,PHILADELPHIA,PA,19146,,,,,,,3WAYQUIZZO,QUIZZO,"2201 CHRISTIAN ST, PHILADELPHIA, PA, 19146",39.9418395,-75.179463
INTERSTATE DRAFTHOUSE,"RESTAURANT,BAR",8:00 PM,SUNDAY,,FISHTOWN,1235 E PALMER ST,,PHILADELPHIA,PA,19125,,,,,,,ANXIOUS MILLENIAL QUIZZO,QUIZZO,"1235 E PALMER ST, PHILADELPHIA, PA, 19125",39.9718411,-75.1286626
MIFFLIN TAVERN,"RESTAURANT,BAR",8:00 PM,TUESDAY,,PENNSPORT,1843 S 2ND ST,,PHILADELPHIA,PA,19148,,,,,,,DJ DENIM,QUIZZO,"1843 S 2ND ST, PHILADELPHIA, PA, 19148",39.924378,-75.1498531
PJ WHEILAN'S NEWTOWN SQUARE,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,,4803 WEST CHESTER PIKE,,NEWTOWN SQUARE,PA,19073,,,,,,,DJMUVE,QUIZZO,"4803 WEST CHESTER PIKE, NEWTOWN SQUARE, PA, 19073",39.9767167,-75.4382878
TIN CAN BAR,"RESTAURANT,BAR",7:00 PM,THURSDAY,,PORT RICHMOND,2537 E SOMERSET ST,,PHILADELPHIA,PA,19134,GIFT_CARD,50,,,,,ELI'S QUIZZO REVIVAL,QUIZZO,"2537 E SOMERSET ST, PHILADELPHIA, PA, 19134",39.981572,-75.1135922
THE SHIPYARD BAR,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,PORT RICHMOND,2537 E ONTARIO ST,,PHILADELPHIA,PA,19134,GIFT_CARD,50,,,,,ELI'S QUIZZO REVIVAL,QUIZZO,"2537 E ONTARIO ST, PHILADELPHIA, PA, 19134",39.9887699,-75994413
NATIONAL MECHANICS,"RESTAURANT,BAR",7:30 PM,TUESDAY,,OLD CITY,22 S 3RD STREET,,PHILADELPHIA,PA,19106,,,,,,,EZALMIGHTY,QUIZZO,"22 S 3RD STREET, PHILADELPHIA, PA, 19106",39.9495672,-75.1461515
THE AMBASSADOR,"RESTAURANT,BAR",6:00 PM,MONDAY,"SECOND_OF_MONTH,FOURTH_OF_MONTH",KENSINGTON,635 W GIRARD AVE,,PHILADELPHIA,PA,19123,GIFT_CARD,50,,,,,HTOTHEQUIZZO,MUSIC_QUIZZO,"635 W GIRARD AVE, PHILADELPHIA, PA, 19123",39.9708105,-75.1479598
HILLTOWN TAVERN (FAIRMOUNT),"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,FAIRMOUNT,795 N 24TH ST,,PHILADELPHIA,PA,19130,,,,,,,HTOTHEQUIZZO,MUSIC_QUIZZO,"795 N 24TH ST, PHILADELPHIA, PA, 19130",39.9698013,-75.1762835
SUTTON'S,"RESTAURANT,BAR",8:00 PM,WEDNESDDAY,,KENSINGTON,1706 N 5TH ST,,PHILADELPHIA,PA,19122,CASH,50,CASH,25,,,JAWNYQ,QUIZZO,"1706 N 5TH ST, PHILADELPHIA, PA, 19122",39.9771583,-75.1436783
NEW WAVE CAFE,"RESTAURANT,BAR",8:00 PM,TUESDAY,,BELLA VISTA,784 S 3RD ST,,PHILADELPHIA,PA,19147,CASH,50,CASH,25,,,JAWNYQ,QUIZZO,"784 S 3RD ST, PHILADELPHIA, PA, 19147",39.9381255,-75.148436
STRANGELOVE'S,"RESTAURANT,BAR",8:30 PM,TUESDAY,,CENTER CITY,216 S 11TH STREET,,PHILADELPHIA,PA,19107,GIFT_CARD,40,,,,,JB,QUIZZO,"216 S 11TH STREET, PHILADELPHIA, PA, 19107",39.9480826,-75.1592322
ERA,"RESTAURANT,BAR",8:00 PM,THURSDAY,,BREWERYTOWN,2743 POPLAR ST,,PHILADELPHIA,PA,19130,,,,,,,JB,QUIZZO,"2743 POPLAR ST, PHILADELPHIA, PA, 19130",39.9731507,-75.1819923
JOHN HENRY ARDMORE,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,,98 CRICKET AVE,,ARDMORE,PA,19003,,,,,,,JOHNNY CHEESETEAK,QUIZZO,"98 CRICKET AVE, ARDMORE, PA, 19003",40067884,-75.2932395
FOUNDING FATHERS,"RESTAURANT,BAR",8:00 PM,MONDAY,,SOUTH STREET,1612 SOUTH ST,,PHILADELPHIA,PA,19146,,,,,,,JOHNNY GOODTIMES,QUIZZO,"1612 SOUTH ST, PHILADELPHIA, PA, 19146",39.9440071,-75.1690906
DELI AT DWELL,"RESTAURANT,BAR",8:30 PM,TUESDAYS,,FISHTOWN,1301 N AMERICAN ST,,PHILADELPHIA,PA,19122,,,,,,,JOHNNY GOODTIMES,QUIZZO,"1301 N AMERICAN ST, PHILADELPHIA, PA, 19122",39.971168,-75.13998
UNION TAP HOUSE,"RESTAURANT,BAR",8:30 PM,WEDNESDAY,,MANAYUNK,4801 UMBRIA ST,,PHILADELPHIA,PA,19127,CASH,50,,,,,JUSTIN CREDIBLE,QUIZZO,"4801 UMBRIA ST, PHILADELPHIA, PA, 19127",40326041,-75.232367
MAGGIE'S WATERFRONT CAFE,"RESTAURANT,BAR",9:00 PM,FRIDAY,,TORRESDALE,9242 DELAWARE AVE,,PHILADELPHIA,PA,19114,,,,,,,KATIE DAVIS,QUIZZO,"9242 DELAWARE AVE, PHILADELPHIA, PA, 19114",40436656,-74.9896264
SIDE BAR,"RESTAURANT,BAR",7:30 PM,WEDNESDAY,,,10 EAST GAY STREET,,WEST CHESTER,PA,19380,,,,,,,MIKE ARGY,QUIZZO,"10 EAST GAY STREET, WEST CHESTER, PA, 19380",39.960555,-75.6047278
THE INTERNATIONAL,"RESTAURANT,BAR",8:00 PM,WEDNESDAY,FIRST_OF_MONTH,FISHTOWN,1624 N FRONT ST,,PHILADELPHIA,PA,19122,,,,,,,MIKEV_EE,QUIZZO,"1624 N FRONT ST, PHILADELPHIA, PA, 19122",39.9749539,-75.1345266
OWEN'S PUB,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,,119 E 17TH AVE,,NORTH WILDWOOD,NJ,8260,,,,,,,MIKEY D,QUIZZO,"119 E 17TH AVE, NORTH WILDWOOD, NJ, 8260",38.9990069,-74.8038392
WORLD OF BEER EXTON,"RESTAURANT,BAR",7:00 PM,WEDNESDAY,,,102 MAIN ST,STE 100,EXTON,PA,19341,,,,,,,QUIZZO WITH ALYSSA,QUIZZO,"102 MAIN ST, STE 100, EXTON, PA, 19341",40236527,-75.6293103
CAVANAUGH'S RITTENHOUSE,"RESTAURANT,BAR",7:00 PM,TUESDAY,,RITTENHOUSE SQUARE,1823 SANSOM ST,,PHILADELPHIA,PA,19103,,,,,,,QUIZZOINPHILLY,QUIZZO,"1823 SANSOM ST, PHILADELPHIA, PA, 19103",39.9510375,-75.1709241
HILLTOWN TAVERN (FAIRMOUNT),"RESTAURANT,BAR",8:00 PM,WEDNESDAY,,FAIRMOUNT,795 N 24TH ST,,PHILADELPHIA,PA,19130,,,,,,,SETH,QUIZZO,"795 N 24TH ST, PHILADELPHIA, PA, 19130",39.9698013,-75.1762835
PJ WHEILAN'S BLUEBELL,"RESTAURANT,BAR",7:00 PM,MONDAY,,,799 DEKALB PIKE,,BLUE BELL,PA,19422,,,,,,,THE QUIZZO GUYS,QUIZZO,"799 DEKALB PIKE, BLUE BELL, PA, 19422",40.1695406,-75.2881996
PJ WHEILAN'S HATFIELD,"RESTAURANT,BAR",6:30 PM,SUNDAY,,,190 FORTY FOOT RD,,HATFIELD,PA,19440,,,,,,,THE QUIZZO GUYS,QUIZZO,"190 FORTY FOOT RD, HATFIELD, PA, 19440",40.2673752,-75.3158156
